admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Pha Khao,TH4212,2014,1.317102386334416,1.2825963664191329,1.318277291203832,,2.0425808017953844,2.049370411370273,1.827915914368604,1.2535715093339928,1.5924223666710222
Erawan,TH4213,2014,1.2822455829458639,1.341405386544956,1.424490972276931,,2.019751954812263,2.0610379630947877,1.9174815662359097,1.4409281716065963,1.6741799727450957
Nong Hin,TH4214,2014,1.3046104755459407,,,,1.8279608786749524,1.918859477502419,1.7023233308611747,1.309370918379006,1.5863878271871286
Mueang Satun,TH9101,2014,1.2299070355622585E9,1.8970294104268344,1.9219286440014722,1.8427804149361693,1.8453892109016272,1.809649920639939,1.907441780804477,1.760415725907736,1.4041359853013617E8
Khuan Don,TH9102,2014,2.1576648998099324,2.0173303349295257,1.8473182167019466,1.8523600172858157,2.404209208172192,1.7361895698786072,1.9297396906978523,1.8696765843536323,1.905990537510889
Khuan Kalong,TH9103,2014,2.2493304601528243,2.2439024132859275,2.165127000960039,2.2326834080994558,1.798912928794628,2.11450342825385,2.1061209158849103,2.033116661115971,2.128232983474189
Tha Phae,TH9104,2014,2.500356947649992,2.1756870142441094,2.1509910297969848,2.1326379873923758,1.7594844097714981,2.0716337093264645,2.184403315920877,2.033673847440117,2.134290879940264
La-Ngu,TH9105,2014,1.9820129460053308,1.9495257469132121,1.7685471377958564,1.878694332786212,1.6498353918858835,1.8280828255212977,2.006756021437149,1.8577120097615256,1.8607526633483298
Thung Wa,TH9106,2014,2.0416144193448043,1.9334921744933162,1.9701634137510127,2.1509180080842847,1.7477730546225796,1.929684864785094,2.0785995986168935,1.850900285459467,1.927130914613936
Manang,TH9107,2014,2.359839503353243,2.2608220562873442,2.203128722671915,2.0743014456884197,1.8250281902636132,2.164108791700078,2.130162997738378,1.9830239631717068,2.141527626401917
Mueang Trang,TH9201,2014,2.0886241270493127,2.154681536863687,2.0848922619891184,,1.7744254749342128,1.9476013157326664,1.788307514175562,1.7769865151367565,1.936759548610123
Kantang,TH9202,2014,2.1265527757913985,2.028170694944026,2.4634169403637114,1.9439923694779175,1.9522847383870026,2.029145967878387,,1.8388915726801418,1.9964080385312257
Yan Ta Khao,TH9203,2014,2.1936270647445886,2.083826908635051,2.2042235764689235,2.047647038109265,1.843928876215852,2.0850124337744904,2.0109058160675923,1.8474548495423164,2.0577910103139017
Palian,TH9204,2014,2.106158968582924,2.089188911400876,2.1200095028048556,2.091897870131052,1.9319703388871499,1.9830302633018952,1.87877062698967,1.8417011181807192,2.0102457472635282
Sikao,TH9205,2014,2.3274392822496406,2.1624470184217652,2.163264784535073,2.212702478480275,1.9568104024231976,2.0802557189644855,1.7950563203434304,1.9154534253086937,2.045634108410688
Huai Yot,TH9206,2014,2.135361316637787,2.2263009631806927,2.348396134563127,2.122259997485006,1.9682844638627364,2.098951371057454,1.977381984401579,1.9267508999996437,2.0848678721173703
Wang Wiset,TH9207,2014,2.3119483298979784,2.2173973375158815,1.9738744564474824,2.2749647251177327,2.148240776496008,2.132197265141834,1.985870996924306,1.9495349810222249,2.106983319605675
Na Yong,TH9208,2014,1.95024816961167,1.8808376005891196,1.8144394160268928,,1.65437615748903,1.8639737158141712,1.6244532598751935,1.7527464193687565,1.846236479611523
Ratsada,TH9209,2014,2.0273424933007864,2.2377600727651634,2.28131751284324,2.074053325193112,2.04417237181433,2.0282262165430525,2.1054319988984176,1.8781224839801267,2.0445572544062705
Hat Samran,TH9210,2014,2.087323365126405,2.140275537022531,2.279695173419784,1.7261428822920617,1.6815769972466261,2.077287841291836,2.235477220275618,2.0063058534569,2.045461930860407
Mueang Yala,TH9501,2014,1.3494914363311803,1.6126693915249593,1.7000242204863285,1.6983912171457198,2.0434591489563902,1.4609673868424713,1.6315847966200019,1.7856122417756575,1.563455414509421
Betong,TH9502,2014,2.260323757217624,2.106748421967099,2.090615066318278,2.236421082226616,2.076457237330605,2.130803586740722,1.936976639187715,1.8964911619512357,2.0899336319923645
Bannang Sata,TH9503,2014,2.2501102806599795,2.246881450469984,1.9949503105782074,2.0796508134560043,2.4627668818497463,2.115480519470592,2.0272305916813425,2.1742152590348343,2.166386790362909
Than To,TH9504,2014,1.7346875442268725,1.4254386762557987,1.593671720325698,1.5145879134400537,1.1457771001140873,1.7336601129241025,1.5798039921651845,1.3193888722053126,1.6133019323606261
Yaha,TH9505,2014,1.8637352483345822,2.0871094121642106,1.942758655796112,,,1.9066452553870812,1.9194162548921896,1.9098435674541192,1.931109861153611
Raman,TH9506,2014,1.4242788822371564,1.5961558395421775,1.5360988645248295,1.6879967832737228,2.0344307511798294,1.741588804791925,1.4667051012565293,1.6134253969516554,1.6091273821040106
Kabang,TH9507,2014,2.2690542322666434,2.198339044887803,1.9854027155151897,,,1.8977394355417816,2.034877972276445,1.958641677774537,2.0751297767422763
Krong Pinang,TH9508,2014,1.8475542745023823,2.0735753072962737,2.0139640405924637,2.060901495255514,2.2693780004362134,2.145054943407496,2.1440532656640388,2.1235974427236455,2.0590379237249192
Mueang Trat,TH2301,2014,2.0119440321080773,1.8196422009263453,2.22842133121159,1.9960310050982468,1.9150624152210183,1.9255906518063768,1.7974185935607108,1.6425686186828876,1.859397039538679
Khlong Yai,TH2302,2014,1.523711299624945,1.6439746511154345,,1.4663488190664247,1.4330600322067024,1.4800596969431046,1.4517666788606358,1.431371156960049,1.4732116586091006
Khao Saming,TH2303,2014,2.1776604380651956,2.0957596870922948,2.084448880278337,1.881828347997433,1.9807340670852769,1.905338194410043,1.9065802617723866,1.6973218880167265,1.9240868975137861
Bo Rai,TH2304,2014,2.207688793826286,2.348991296187722,2.271845621596233,1.871838199957243,2.0163415005278744,1.917968689706934,1.9048738100206681,1.7554261384279992,1.9512049757127687
Laem Ngop,TH2305,2014,1.9488201566187204,1.992949628756793,2.0032964185462507,1.9990376026728167,2.00890508498038,1.9072099015342778,1.813375518501354,1.7624947339174073,1.90453944443086
Ko Kut,TH2306,2014,2.246855138017588,26.073502700951103,,2.0765142494846467,2.1423524555104416,2.1285758392199376,2.0794133434997355,1.9195625956081586,6.092412310811635
Ko Chang,TH2307,2014,1.628457793920839,1.0496665736642357,,2.0946430803223497,1.8157069867006081,2.0758898605867713,1.8726688798386857,1.7489328836949618,1.751072362490108
Mueang Phrae,TH5401,2014,1.2407160481238686,1.2240952204829305,1.4396964050511714,1.583478258629986,1.8922691590074063,1.8027815589896574,1.4728488444667955,0.9144836916477681,1.415790907674471
Rong Kwang,TH5402,2014,1.1595227812736009,1.3258857347399327,1.2588060598751722,1.7148116930856203,2.036002202759823,1.6994761941900294,1.431979756882564,1.0918137009445847,1.353516641053292
Long,TH5403,2014,1.3915189133086565,1.7477629670381278,1.653778828561838,1.9074763076051566,1.8161734354164416,2.0807472334184163,1.7074129666274367,1.1995705304274507,1.6112086157048948
Sung Men,TH5404,2014,1.0024349239306454,0.9320555866327399,1.326304903203781,1.3825246682738523,1.8593074328079926,1.9770639444182811,1.3616634013360946,0.8992769408083036,1.2995561501927488
Den Chai,TH5405,2014,1.060404632770817,1.1218708856632027,1.6980834408478225,2.0466654980169174,2.021652350994035,1.8830490043630954,1.3000423283182125,0.9990036479791147,1.3350063658197677
Song,TH5406,2014,1.1401115124756869,1.5182619031791669,1.3427066322327492,1.8174750765429657,2.1696910643774663,1.6839134647693599,1.4905759579899058,1.0527816391197247,1.464624921798173
Wang Chin,TH5407,2014,1.5564020667910015,1.7833984792761512,1.542492097688527,1.862200764276617,1.7958690161027646,2.1241314567579077,1.7291911887016302,1.2825259701118452,1.6717367198601267
