admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Na Wa,TH4809,2013,0.36288492395005284,0.4559410925010496,,0.5684175163890391,,0.6224564613858576,0.5910358104456143,0.43784586160690525,0.27717566407078836,0.4885143872053445,,0.5849364993274259,,0.5278168209845676,0.431831869203444,0.2223971920494665,0.5155798878118206,0.42836221365115823
Phon Sawan,TH4810,2013,0.3793452159552317,0.4680099869999193,,0.6436978057905808,,0.6929234482225753,0.638608317371638,0.4752853410032793,0.31883181302730057,0.4751673190340999,,0.5479546938163734,,0.5566287507328395,0.4487035070474447,0.22450928980724874,0.5695924462058769,0.4328619043518829
Na Thom,TH4811,2013,0.397913742648649,0.5051478830877368,,0.376206852519654,,0.5991866605192256,0.6001984136089856,0.4852831987772545,0.42151563045498397,0.5060740561718816,,0.49894682206493324,,0.5170762455959108,0.4519867874736557,0.3034051451348445,0.5051149643509983,0.44879753659854527
Wang Yang,TH4812,2013,0.4142129620060261,0.5049727155005306,,0.6614165454672288,,0.6686251724795043,0.5860281800665263,0.4226781713222055,0.34243837905965624,0.4937271849859017,,0.5518840078806766,,0.5398149447946674,0.3772602150948592,0.16730314717736303,0.5483304109102346,0.40788181578807037
Mueang Sukhothai,TH6401,2013,0.38551914570252,0.48305927400527854,0.506007422561406,0.649773532615469,0.41183245997788187,0.46849955283730804,0.5237270967556275,0.5901117349989412,0.25806025669559246,0.41996539816303824,0.465221337868358,0.5720352872931058,0.5958908369829305,0.5952407515086136,0.578820208636677,0.5059687830006432,0.4871022226704576,0.4904644897044708
Ban Dan Lan Hoi,TH6402,2013,0.4565551280473159,0.5796329482247251,0.6326022762519424,0.6776406048942367,0.7140559316025756,0.7459916499039703,0.7331094805445042,0.6073862909990089,0.22405884516679334,0.4055707928719778,0.47297722353055455,0.5639359473802119,0.6164600926820458,0.6116553113490772,0.558901933562471,0.38532209983242083,0.6440437449098838,0.46743590019666803
Khiri Mat,TH6403,2013,0.43794404357354355,0.5126227679800522,0.5668100120518821,0.649768645359135,0.5438328343967721,0.6197598466490624,0.6346436625132379,0.5728379729328112,0.26322732553680533,0.386116607632153,0.41226445512868354,0.553176387952109,0.5878881892632303,0.586446658329921,0.5892860035085603,0.46441291946903823,0.5668084589413348,0.4864908600094724
Kong Krailat,TH6404,2013,0.5016509003894789,0.5524548048262872,0.5270502734726091,0.5970884014032896,0.3434760437756385,0.26695934673876165,0.40795875647221885,0.5987284538377804,0.40602251403745354,0.48934487374467645,0.4525274927124434,0.5355315923279895,0.6096547756683435,0.6349834339068108,0.6415851285345868,0.5671905074940072,0.4501389808873753,0.5523292628693206
Si Satchanalai,TH6405,2013,0.484054689696921,0.6105715897458811,0.5853514607433097,0.6260352404207664,0.7047377348325793,0.7065782765773851,0.6684943158680031,0.5610796009494979,0.2825739990483273,0.45078072414527276,0.4130812556396361,0.49640803381529025,0.6027033960226604,0.5822179036955126,0.5112816097850229,0.3956177537632277,0.6129401277778285,0.45730259734126616
Si Samrong,TH6406,2013,0.40195056179090566,0.4766177837095079,0.5078753182598474,0.6746703037063522,0.5762743654417022,0.5951813663171625,0.6122894592706083,0.5840193482650217,0.27242638312546913,0.394464185719447,0.3947247899804727,0.568443330148765,0.5818604406785538,0.5607528416754042,0.549206367999819,0.41965788030683737,0.5565675088432561,0.4614133936776318
Sawankhalok,TH6407,2013,0.40941849387892076,0.5318967575925454,0.5736540396854596,0.6988353788014368,0.6372797729169012,0.6435067580791015,0.6789767098290596,0.6177420411548942,0.27114594431271094,0.4473837297098771,0.4095767619003137,0.5595855206633314,0.6000737125842514,0.5643452205713203,0.5731694067767882,0.49418771337209333,0.6022508929488974,0.49265860750548607
