admin2Name,admin2Pcod,Year,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
Cho-Airong,TH9613,2015,0.703664324628608,0.6359655423795694,0.7833372844632328,0.7955829432383972,0.79610164718066,0.43615779159703666,0.7323123458717669,0.506355777968255,0.5531340215180307,0.5278814088720962,0.6446116562465436,0.6465598305424783,0.6455079170864073,0.648775953389783,0.6268525667257496,0.506969717360175,0.7063616048832555,0.6006299294488407
Mueang Pathum Thani,TH1301,2015,0.5557469268036349,0.634272866468238,0.5484421810462243,0.5353224249716347,0.5332400730593184,0.5635220958571171,0.647006678373972,0.6177534622242764,0.5193058144705526,0.5489376215986712,0.4675286523111865,0.4760686127706019,0.5225402026641763,0.5294645386347109,0.5965699539827368,0.5465866285151251,0.5857194564159423,0.5341887474195182
Khlong Luang,TH1302,2015,0.5403571429360948,0.6538464286580826,0.5589488708635404,0.5022253527636574,0.5255742228244086,0.656184026360067,0.7411383470949926,0.6324191809593548,0.46443954861600384,0.5361060837991927,0.43592399222054257,0.45494593140985895,0.540421796373984,0.5935988784204819,0.6282492579443141,0.521825584041465,0.6100941259856111,0.5304525420888729
Thanyaburi,TH1303,2015,0.5550511358922536,0.5990661309797644,0.540573950544164,0.5628616999237889,0.5682144187160763,0.6750277201192839,0.7105680149341146,0.6810989017273965,0.42983303858175853,0.4743283754219747,0.39880914451975424,0.4755644155571533,0.5384218406668407,0.6125791795962058,0.6079514699511364,0.5678979064455207,0.6192116516913025,0.5129296520610044
Nong Suea,TH1304,2015,0.5837506067055785,0.6420021444553586,0.5649567772898003,0.5621412148427234,0.5647340882689308,0.6783463412671743,0.7284403817411838,0.6830111802551545,0.47488646314906385,0.5271605517128921,0.44700020063435847,0.4852122787165202,0.5369172349973019,0.5938039415206497,0.6197298437957335,0.5763981880901105,0.6333093744542916,0.5334433856609271
Lat Lum Kaeo,TH1305,2015,0.60290404846671,0.6398258622009336,0.5520237430781539,0.5089600531488786,0.5961985887456998,0.6098961500662706,0.6506694243423694,0.6634152495487239,0.544692241684824,0.5510997574407709,0.44628734778594026,0.4398112789136668,0.5303337279474871,0.5612841121489499,0.5755789261883126,0.5608322781758139,0.6206787255950655,0.5426456756284035
Lam Luk Ka,TH1306,2015,0.523960297144472,0.6476112601397742,0.5877363280457585,0.5617928037268999,0.5056675121956726,0.5629210026523336,0.653965524531945,0.6927952201387934,0.4677425115390318,0.5502684456401923,0.47111511081964785,0.4909597372302092,0.5350858390078004,0.6127334884185256,0.598929556897275,0.5799896798493135,0.6051434601663743,0.5461459934238285
Sam Khok,TH1307,2015,0.6068084764505686,0.6235924324376074,0.5136290280236416,0.5387021430489144,0.5866851162012136,0.6192733405808153,0.6717008125241122,0.655129302055328,0.5289608893001714,0.522885857110425,0.42426526838414474,0.4408701900721703,0.5210255385951851,0.5589488163263955,0.5908999537272017,0.5522672104273894,0.6127416821384587,0.527252717985206
Mueang Chanthaburi,TH2201,2015,0.6623008066107052,0.6170769855454915,0.6945556296758578,0.711321838687551,0.41414446232300517,0.7099384937925025,0.7499983055585294,0.7184960476817533,0.484648420015279,0.49956141453244385,0.6524409081099032,0.6181259283303444,0.6389483731779525,0.6410768118550862,0.6053834490677955,0.5529508303220871,0.6846782549803883,0.5694273276565012
Khlung,TH2202,2015,0.7208424179822541,0.7027418278535973,0.6643314675479888,0.6880841014127029,0.2723752297123905,0.7230956231319802,0.7658726522961969,0.7521415762886171,0.5658278312863076,0.5709709478189499,0.6629376196390698,0.5866380113294988,0.5886328900024779,0.6055210781868892,0.6033696252645869,0.5725253775504346,0.6537578294968095,0.593946735721734
