admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Na Noi,TH5504,2020,155.71735678473487,181.6295372247696,236.7136001586914,474.93814647197723,278.92395055294037,81.09359633922577,33.11049181967974,6.4688637256622314,1448.5955430776812
Pua,TH5505,2020,114.39450478553772,174.03151655197144,232.41381406784058,483.27965545654297,280.2993404865265,98.49022340774536,44.062050841748714,5.974981784820557,1432.9460873827338
Tha Wang Pha,TH5506,2020,,,,,,,,,
Wiang Sa,TH5507,2020,127.4317237409453,237.01721275267295,240.98266023520685,434.08190113306046,262.42388826014854,79.21550124670776,41.83593275559072,4.824617259708562,1427.8134373840412
Thung Chang,TH5508,2020,,,,,,,,,
Chiang Klang,TH5509,2020,110.63987839221954,168.03245329856873,245.42814016342163,470.1558027267456,247.22717666625977,75.21376943588257,48.84166902303696,5.72585391998291,1371.2647436261177
Na Muen,TH5510,2020,,,,,,,,,
Santi Suk,TH5511,2020,,,,,,,,,
Bo Kluea,TH5512,2020,131.79866510629654,241.50694465637207,229.9001965522766,470.766206741333,255.70709908008575,91.05105447769165,53.14721392095089,7.967646360397339,1481.8450268954039
Song Khwae,TH5513,2020,,,,,,,,,
Phu Phiang,TH5514,2020,,,,,,,,,
Chaloem Phra Kiat,TH5515,2020,131.79866510629654,241.50694465637207,229.9001965522766,470.766206741333,255.70709908008575,91.05105447769165,53.14721392095089,7.967646360397339,1481.8450268954039
Mueang Phangnga,TH8201,2020,,,,,,,,,
Ko Yao,TH8202,2020,,,,,,,,,
Kapong,TH8203,2020,,,,,,,,,
Takua Thung,TH8204,2020,,,,,,,,,
Takua Pa,TH8205,2020,,,,,,,,,
Khura Buri,TH8206,2020,,,,,,,,,
Thap Put,TH8207,2020,,,,,,,,,
Thai Mueang,TH8208,2020,,,,,,,,,
Mueang Ranong,TH8501,2020,,,,,,,,,
La-Un,TH8502,2020,,,,,,,,,
Kapoe,TH8503,2020,,,,,,,,,
Kra Buri,TH8504,2020,,,,,,,,,
Suk Samran,TH8505,2020,,,,,,,,,
Mueang Chumphon,TH8601,2020,112.10356605052948,187.29010844230652,107.7392090857029,153.7074418067932,192.90482831001282,338.8253798484802,223.38910627365112,258.7412042617798,1574.700844079256
Tha Sae,TH8602,2020,,,,,,,,,
Pathio,TH8603,2020,,,,,,,,,
Lang Suan,TH8604,2020,,,,,,,,,
Lamae,TH8605,2020,,,,,,,,,
Phato,TH8606,2020,,,,,,,,,
Sawi,TH8607,2020,,,,,,,,,
