admin2Name,admin2Pcod,Year,SR,SR_1,SR_2,SR_3,SR_4,SR_5,SR_6,SR_7,SR_p75
Non Thai,TH3009,2017,3.168393462137958,3.2115979075429735,3.045719232520151,5.1713000741656066,5.851878265729285,3.8965546837752205,2.9210307667305533,2.7052635954472355,3.4490628831723087
Non Sung,TH3010,2017,2.58178131160123,2.7594468448021274,3.0408385857049214,4.552159034986947,7.01016824803113,4.494256132476231,2.655528806889919,2.499916108037681,3.248122813794628
Kham Sakaesaeng,TH3011,2017,3.061785812249936,3.483734805259592,3.917429815376445,6.004481219033588,7.449814663159952,6.137348664994926,3.7509238802576848,3.135713241195571,4.210023302860006
Bua Yai,TH3012,2017,2.4746754289277186,2.6975777383690707,,6.29556603899997,6.343651450662501,4.808151964596911,3.7502107186653073,2.4527775901409132,3.9079220875230396
Prathai,TH3013,2017,1.9086589846605702,2.3968814369737186,4.001804457155375,6.630996159351763,6.913578487229805,6.118545903073365,3.9174101008283504,2.274537772056939,4.082228440032184
Pak Thong Chai,TH3014,2017,3.2393686396101464,4.186456441137908,4.056300941035015,5.228492754208057,8.274451417401103,2.880682092200321,3.3649621035665964,3.344890387369108,3.8848726347965816
Phimai,TH3015,2017,2.513297272823949,3.492804117768198,3.893097470202756,6.5630203003349425,6.868730631295752,3.9270221567484813,3.9757906299646453,2.9693723681206228,3.995145057144648
Huai Thalaeng,TH3016,2017,3.2640450902062867,3.554465282760334,4.349568376329606,5.940056611761893,7.492958152338938,4.260046198713538,4.113794211562425,3.4443897726298576,4.082858350775444
Chum Phuang,TH3017,2017,2.800220739203443,3.4006589776410694,3.567756100983932,6.194447078830628,7.698478054844878,5.351250924249713,4.292186383758146,2.872251793998063,4.228982093757824
Sung Noen,TH3018,2017,3.318015983525124,4.177014615558351,3.5292469970890044,5.717918374923899,7.708440590882741,3.7514686529363925,2.9499955109455542,3.2888933556598547,3.917548187499655
Kham Thale So,TH3019,2017,3.0444248584165803,3.8436870081277443,3.869578230412619,5.05526946294273,7.851169438709452,3.2169859274897616,2.4001301892638414,2.9043138731299836,3.767914048079111
Sikhio,TH3020,2017,3.2746087966887822,4.801712249132401,3.3362066588897368,5.7458344705557405,6.799610831255664,6.847979440208306,5.25520705520203,3.986480259962412,5.017427421863224
Pak Chong,TH3021,2017,4.605660358395286,6.291209258026089,4.272574857024545,7.39133373803388,7.146265476318774,7.141820130181352,6.381202968816028,4.888585068095263,6.109838123923235
Nong Bun Mak,TH3022,2017,4.127080777178844,6.069103874059356,6.462955860922024,10.345634400264387,9.750920816728073,4.1735314102151335,5.381865103394696,3.620167251251798,5.640682634129593
Kaeng Sanam Nang,TH3023,2017,2.638122129027489,3.5959531783908663,,6.000186786383585,5.185810996925693,4.870241764173644,3.579009775999912,3.029675592318802,4.087103869047423
Non Daeng,TH3024,2017,2.107060348345511,2.4592128406467584,,5.130261436604197,,3.9506526502522514,3.460890830992575,2.2840755742910432,3.2845109977703775
Wang Nam Khiao,TH3025,2017,4.904188622867013,4.991057975834985,3.7897304072250284,5.628851778124221,8.79583062041861,2.341563568491566,4.921451634988083,4.356508908522027,4.982569951642591
Thepharak,TH3026,2017,2.31343952250829,4.089800218568959,2.93079819548314,6.330266140036505,5.549366944846698,5.50554246490194,4.556287412968963,3.447099925371341,4.021319018215989
Mueang Yang,TH3027,2017,1.5652695138966943,2.8739509673294052,3.7904742658880552,6.018172763834339,7.160285162491865,7.011588162920773,3.4274692355283185,2.4289154547529015,4.380679964449434
Phra Thong Kham,TH3028,2017,3.2883964878065886,3.290462278590455,3.2791225788871166,6.303724716368054,7.00042064051059,5.6750781190632,4.116045340745719,3.3663969923020467,4.129864975286449
Lam Thamenchai,TH3029,2017,2.1636125504637884,4.271538542575171,4.103144838337474,6.904138811966729,8.381185446720625,6.492862745760291,4.947924290712046,3.115175716846108,4.971342264003827
Bua Lai,TH3030,2017,2.8658191788511647,2.771382097406178,,6.421315138176882,,5.6336701103718045,4.3467410083008025,2.7082172317304503,4.164576855864331
Sida,TH3031,2017,2.216593398561344,2.261098731012287,,7.198203948620034,7.836709793699838,6.280928284079668,4.045908755113418,2.2519320973151453,4.1108803186287615
Chaloem Phra Kiat,TH3032,2017,2.903494941944351,3.957904286995293,4.364282214510642,6.128671719077392,,3.6532526058496915,3.5408310177466915,3.2531599465316505,3.963595913783543
Mueang Amnat Charoen,TH3701,2017,2.575603061230549,3.325834681816287,3.670308576672097,4.16725870191094,6.147580794901882,6.141526266757646,3.937794616706049,2.6591943950297785,3.8842354691447634
Chanuman,TH3702,2017,3.7187515465139924,5.714731871979624,5.076721059752852,5.939294913016878,9.69163244667096,7.55403927519266,5.48546841857241,3.9963601871802426,5.785718835514406
Pathum Ratchawongsa,TH3703,2017,2.999554273059195,3.6875121866489486,4.059911007945113,4.597033780367138,9.25258546088088,7.086812107881302,4.558019997201813,3.0669330968190405,4.895720343760058
Phana,TH3704,2017,2.8844257737100563,3.095141610881202,3.0540082768787506,4.723064835673827,8.11059371978323,6.454878501317134,3.9868984320175995,2.741030852673928,4.5158917586833
Senangkhanikhom,TH3705,2017,2.437178247294733,3.1374415859858287,3.0902947798479032,4.336305427467245,6.781138177416597,6.71825758053404,4.336015297557332,2.7790167843834612,4.198033093870641
Hua Taphan,TH3706,2017,2.1874151916882982,3.3678275878144546,3.6971672025236884,5.156685693429695,5.398831424032378,5.631947400106646,3.3973364066813447,2.350086564241159,3.6592724635066585
Lue Amnat,TH3707,2017,2.232326820517819,3.0881079546131582,3.720184354642927,5.014410118656158,6.728274387674413,5.928635275024514,3.420853936375986,2.3925313131365944,3.7652132617506853
Mueang Mae Hong Son,TH5801,2017,4.302300810369903,4.257006642042622,4.680117881530128,5.426056204305124,7.873846841975954,10.195931982284186,8.157130367666632,5.3034057290984045,6.5476231650991945
Khun Yuam,TH5802,2017,3.8998124720434637,3.4193144719660826,,4.874212543130718,8.489440630886051,10.547112235674433,8.991630967317692,6.176315976627269,6.6121001181505505
Pai,TH5803,2017,3.5943418455155602,1.2370786180579845,5.315159121259492,9.401380332372224,8.369585994593091,9.323877539856351,6.08210340093087,4.738605195628308,6.121272723054626
Mae Sariang,TH5804,2017,2.9670908522293433,1.220929370831303,,7.0025691705070665,7.45251424585461,6.3991056222822635,5.425749769149113,4.802455062230715,5.678195421330707
Mueang Samut Songkhram,TH7501,2017,4.606621990397202,4.625266973003959,4.76099827926237,4.821992329748345,6.207833338942051,4.478260221726294,5.833979805551236,6.8350149263448525,5.703777935198995
Bang Khonthi,TH7502,2017,7.020898836073222,7.511703244455681,6.10123215013151,3.874122297570811,7.869896793876207,,7.345811714341353,8.738108400585887,7.601285048072898
Amphawa,TH7503,2017,6.1895312913746166,7.067187217403079,5.499404764553114,4.802023404567249,7.14752021516689,5.2840861149784555,7.937721209834697,7.532366712596182,6.835997748471395
Mueang Samut Prakan,TH1101,2017,3.818431130718318,5.0141667910009975,7.022614770018518,,5.84221541852112,4.191281368954837,5.081652476407914,5.6082486152837365,5.042458749010768
Bang Bo,TH1102,2017,2.309052999770353,3.1681395311746203,5.610140468734175,,4.829310963395064,2.450152851809992,5.012267551475016,6.864044640288015,4.313400259397568
Bang Phli,TH1103,2017,3.2269828620995353,5.890337576583181,3.7504895668207276,,5.625239547430437,3.069621948079871,5.083846855692858,5.1015373962675685,4.835510185118147
Phra Pradaeng,TH1104,2017,5.29469192292982,6.605252778641955,,,8.559770271102769,2.433533272835344,7.684438774135917,10.271452414406554,7.638346263159028
Phra Samut Chedi,TH1105,2017,3.695145218848446,5.058699629148372,9.752437473505724,,5.895483555631488,2.2955188651569887,3.827048636161975,5.3640623514292,4.66386985090817
Bang Sao Thong,TH1106,2017,2.476078439725248,3.803621774116561,3.4380730247022835,,4.458983079761296,2.446972487567295,4.327159027940641,5.968534202579578,4.083749949944333
Mueang Ubon Ratchathani,TH3401,2017,3.075320834812103,3.4610314216722258,3.423925149186766,4.7848977710087075,6.4323511029749065,6.247711161288061,3.381633995440988,2.925239836692874,4.240222018998699
Si Mueang Mai,TH3402,2017,2.948765853752744,2.951008862866229,,4.750185697566267,7.287502552055782,5.319108576047062,3.066249387228374,3.0885562982522,4.1630892414326475
Khong Chiam,TH3403,2017,3.2046466129834226,3.5467961176522294,,7.875261462321106,8.12752729671914,5.832761723006058,3.660293911144377,3.524130591684648,4.87881093896086
Khueang Nai,TH3404,2017,2.443790436907093,3.7805126480803706,3.7228507953257233,5.160249453862833,5.49760782547249,4.903232445200914,3.138025541862448,2.433317236128155,3.7665164105537747
Khemarat,TH3405,2017,2.7382328345688256,3.2653698023840927,4.940063017012814,4.807702400664239,9.420154435783443,6.004796682146551,3.708479459544309,3.0622683036312814,4.718143878806598
Det Udom,TH3407,2017,2.5384641212615855,2.994488100925085,4.754986499371081,6.259666118752695,7.409508454230446,3.949327542407357,2.9325578190597468,2.974552818522294,3.8822485114609986
Na Chaluai,TH3408,2017,2.8611151012140628,6.830930233627836,,5.977885206635045,6.753021447668849,4.416389268412005,4.085933763135454,3.3305718586213833,4.3989027750204395
Nam Yuen,TH3409,2017,4.04201409237442,5.932395801891571,,7.3459451571461,7.569347734187547,6.711332075949401,5.932712459220369,4.480100710114767,5.863472923482746
Buntharik,TH3410,2017,2.651027715173665,3.3490096315004463,,5.855318714083897,6.3060720509967325,4.350516229136858,3.3405464418450532,3.014344096653437,4.004754763935957
Trakan Phuet Phon,TH3411,2017,2.979576130132959,2.7916392438210997,3.249332911905632,4.374604080796914,8.0380114625874,5.62840765526014,3.2587733412529425,2.836705013506971,4.297157987717238
Kut Khaopun,TH3412,2017,2.718762504814649,2.8596622707507713,4.3989552172962325,3.9299950174330096,9.979737586210597,6.376331322256631,3.6263436013422057,2.640677031684572,4.6135830804711295
Muang Sam Sip,TH3414,2017,2.5651046003437536,3.4837732619845423,3.7431854989230793,5.631224478420878,7.341194610880645,5.900261508554348,3.391899086963229,2.5367555195320497,4.118513584922176
Warin Chamrap,TH3415,2017,2.4416138379978,3.3060999797849155,3.7259070688339744,6.500322145831732,8.059401254863085,5.574816110529451,3.2522148404588886,2.893328383806893,4.117188326403412
Phibun Mangsahan,TH3419,2017,2.5729133772023185,3.087418509178517,,6.405840614327177,6.82780626383118,3.7592669136401757,2.58571198533113,2.68182333986426,3.9256673716226507
Tan Sum,TH3420,2017,2.834671547860872,2.565282250332269,,5.440194744060919,5.749185980935804,5.0033454131016954,2.824021452122925,2.914775674353141,3.730002105406282
Pho Sai,TH3421,2017,3.3853059041008464,3.0293379011415276,,6.421898313842703,10.260963667126713,7.305035044251408,4.114404629967792,3.68698134646127,5.62940676818997
Samrong,TH3422,2017,2.224644546592698,3.046522315427169,3.5289878183338037,6.491893383561492,7.835882876253561,5.5130712524445755,3.0685043861702006,2.6696457266214844,4.226991897148735
Don Mot Daeng,TH3424,2017,3.039377729165378,2.5177541478344154,3.2297316294896308,4.449779153000161,5.573116601080297,5.439652028826175,2.778660537236897,2.8583398896444088,3.807898357113965
Sirindhorn,TH3425,2017,3.754731976924861,3.8957960764079687,,5.776522318920825,6.53092473175255,5.742364411479436,4.565333057835052,4.304219895498121,4.89305888585909
Thung Si Udom,TH3426,2017,3.100313324850046,3.5807498268717666,,6.443320924178649,8.474373809835665,6.402709810258179,3.7650161704193534,3.340688345278795,4.728961172938779
Na Yia,TH3429,2017,2.844724683814159,3.2015549681949484,,6.607517289393663,6.8477337637588445,4.195653855136972,2.992963123361073,3.0729756925016765,3.9589634690444107
Na Tan,TH3430,2017,2.57143132869448,2.2243504490699255,,3.5399236710692428,9.358593937018114,5.6609454097215135,3.0012316713736826,2.7202704131123965,4.599993776255098
Lao Suea Kok,TH3431,2017,2.7692182347733723,3.037992883548265,3.757629915832167,5.243951712792978,7.790644798810494,6.075878133408325,3.359951945702994,2.781162762959887,4.328320039725091
Sawang Wirawong,TH3432,2017,3.9485985888763757,2.836577278844576,,5.798662814144063,6.195147923558911,6.791525037194563,3.7543438836492706,3.842066959016331,4.869757235844412
Nam Khun,TH3433,2017,3.862835747278127,3.6884476291232566,,7.684045262914571,9.260827784152953,7.707021566302151,5.833506477784158,4.465570530267964,6.145843902014368
Mueang Nong Bua Lam Phu,TH3901,2017,2.77320533355079,3.4112016436619608,4.7142943207652435,5.98314736949798,5.760020624316817,7.030399616776551,5.024755297384171,3.9354689372255827,4.757178927217713
Na Klang,TH3902,2017,3.521853242201298,4.184465683240451,5.339729510996228,7.799893841770746,6.771659391446536,9.428048770726408,5.603432267306027,4.227867075953921,5.767857534679254
Non Sang,TH3903,2017,2.533791533955855,3.044221483644831,3.7625533563885503,5.308357902518745,6.107837816444207,8.16665441936896,4.89839508554138,3.348356237194482,4.644372950513758
Si Bun Rueang,TH3904,2017,3.0483888114946827,4.03953458694234,5.179993788461539,7.251868287355661,8.623331554418183,8.531857986463946,5.996389496997393,4.48972477769705,5.7056620634610935
Suwannakhuha,TH3905,2017,3.451212366214576,4.066032578791724,4.629100109866558,8.357080067790019,7.096045362079029,10.539420425079351,5.541931784166119,4.386886668037593,5.942439156769567
Na Wang,TH3906,2017,4.118082718864857,5.244266302489303,3.528780200908616,8.517979413250632,6.591450440417295,8.783350523641069,7.070864797266034,5.154030498966128,6.261425172095109
Mueang Surat Thani,TH8401,2017,9.084538110625063,12.834360450252952,7.791586557222814,11.51062071183017,8.55096182183258,4.807079693472019,7.255233730945797,10.318240241995264,10.23460215364213
Kanchanadit,TH8402,2017,9.694647321624567,13.462263361271306,8.444819845252011,12.144645375139214,9.378462368445915,7.40062678176589,9.008090031408168,12.280632463298767,11.087484017384828
Don Sak,TH8403,2017,10.948884176711333,11.930850072438554,9.258604650477885,12.02793899139471,10.507641933252922,7.848125367203531,9.264058967646129,10.547347602557085,10.353771744419838
Ko Samui,TH8404,2017,11.36836729396471,10.84045338152797,9.076355880998772,8.957438282329978,9.680546705823948,6.791059957339955,9.408273556660742,9.141336782283762,9.444316355104903
Ko Pha-Ngan,TH8405,2017,9.499310602221987,9.63849893481097,5.934686186536048,1.511666664165809,8.846905598645096,6.073338990753614,8.218548122911603,9.873427987018964,8.637218344891325
Chaiya,TH8406,2017,12.189889142153438,11.24331705928771,8.980542546152805,14.188632859856083,10.54857775113013,12.826726880587108,9.071548786228933,15.829659610827552,11.555351256073548
Tha Chana,TH8407,2017,11.024338582538899,11.747642063664829,9.9206042639955,11.577784952349502,10.870026042324618,9.948597959225646,9.094123569753704,13.927357806981119,11.289802929972108
Khiri Rat Nikhom,TH8408,2017,14.915045774234589,15.46163651417326,11.211342805026549,13.69129058493636,11.485151510152718,10.083004200444577,14.455636764505957,17.396684453438144,14.189166968121288
Ban Ta Khun,TH8409,2017,14.559436758004596,14.854205648251565,10.838698540079216,14.06775099004697,12.49454495777981,10.967310519635646,13.536919775659559,16.97136712293516,13.789795517742068
Phanom,TH8410,2017,13.451140564205385,15.141424809113222,10.788014674784801,14.036534922699811,12.14198755415936,10.29812058076355,13.519419816277786,15.131698084928829,13.22911490528407
Tha Chang,TH8411,2017,12.646107697312022,13.073016077158144,8.861126719438552,14.130327317776722,11.00723736110879,12.033411100346612,8.738795419483996,13.98310255180124,11.892640328623482
Ban Na San,TH8412,2017,13.536902253195839,13.295281132814296,11.420400145939553,13.268523739948568,11.064669721353528,8.244357620074693,12.607540748681027,12.489210002662675,12.331293683374943
Ban Na Doem,TH8413,2017,11.747914758331916,14.153594139266103,12.783915080906496,11.989465618293005,8.345266499995107,5.132127746303835,12.662546026160822,10.40763970322007,11.642074145372536
Khian Sa,TH8414,2017,13.692190260497103,14.091691787928847,12.606383978616902,14.56089484698663,11.44584217355825,7.634751177890086,13.651435227464647,14.10736453811659,13.145775103070196
Wiang Sa,TH8415,2017,12.643612716015035,10.9343857289224,13.121267896143163,11.978649970872041,11.943251294334848,12.268171892141707,13.246470299280231,11.840895357007982,12.235281435343659
Phrasaeng,TH8416,2017,13.54456200127957,11.65258199879953,12.224458831867985,11.596692498293924,12.644218688726893,12.648898423118888,12.660336465501484,13.627879169478295,12.76500075799063
Phunphin,TH8417,2017,10.064838889540013,12.655312512924578,10.026322508387294,11.238221251340134,9.209428277437201,8.323535921391812,9.61136938029273,12.075005201173546,10.600533444231656
Chai Buri,TH8418,2017,14.259460009847002,11.777348147872996,12.790554692662433,12.558575334296362,15.353601177705116,,15.244376133468638,22.620217446508867,15.407981184386237
Vibhavadi,TH8419,2017,12.216589975193369,13.59305224489921,8.36667703232587,13.078467622587016,12.241037437768876,12.248380879688357,13.292831865573786,29.978877288508148,14.35499355422093
Mueang Nakhon Si Thammarat,TH8001,2017,8.669192715900989,6.425570377380184,5.988986165880808,5.994055697604703,6.9706967371845785,6.7083721077454905,7.4035501200431515,8.083266243483758,6.958612832876402
Phrom Khiri,TH8002,2017,9.607904965358273,8.438000167931424,9.444762583126389,8.43621709350841,9.175835744915906,6.900856118456535,9.43788457091165,9.04610186539665,8.691101039707393
Lan Saka,TH8003,2017,9.163444608131588,8.660552168748955,10.062690278784101,,7.208407982972311,8.456249077778343,7.650508886619308,11.202712497131332,9.06138476250629
Chawang,TH8004,2017,13.406992162257259,11.528305790201967,11.57328360889292,13.497440737569955,11.307714193530648,9.144691587158766,13.570728373240017,11.941296184311978,12.367883027464051
Phipun,TH8005,2017,11.074701701017617,11.366732010284103,9.225843690401907,13.597431094967366,8.489791208408672,7.850551046776579,13.398022820481307,11.76539940717229,11.670784231060493
Chian Yai,TH8006,2017,4.994661218665105,6.275578085525472,5.153180481089254,4.587298796208038,6.964282890304389,6.0396588111021865,6.538305296536214,8.693360265902262,6.378848027613083
Cha-Uat,TH8007,2017,6.109983881786849,8.414393136753505,7.466958515083327,5.858347998014967,8.352910392515055,9.443782455433903,8.199148841775758,9.895975963776666,8.320818717604693
Tha Sala,TH8008,2017,7.657261914169697,9.462811256086935,8.395052295681188,8.92928582488065,7.253409185950811,7.410348911908721,11.093686412071175,8.793612944069174,8.594158141710672
Thung Song,TH8009,2017,5.805862943165739,11.21300302158645,10.988645009732458,12.029780196979088,10.814936399946083,14.595695137521568,11.77097648794767,10.960087578912177,11.992222924256755
Na Bon,TH8010,2017,,11.753581178961525,12.245019114755182,12.225503135187813,16.786843933780254,11.644834121101288,12.581286022853348,9.236201761077178,12.022439571383098
Thung Yai,TH8011,2017,6.7683742176916954,12.386834163509471,12.229291758673162,10.1623750375469,12.843681418269325,10.80907813086685,12.761299856864097,12.144345803207797,12.252675483117999
Pak Phanang,TH8012,2017,9.270991724201581,5.720109176590482,5.070992015984778,6.550923131807836,6.600968815314894,6.968267147436177,6.875979400517928,7.00368730831459,6.509017559730947
