admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Lamduan,TH3211,2013,40.60282738095239,48.739843750000006,209.84955357142866,278.1417410714286,278.31063988095246,278.31063988095246,217.8652157738096,157.2130952380953,188.62919456845242
Samrong Thap,TH3212,2013,40.53690891780388,39.56756585211045,200.96896223421138,250.01647096159954,289.91275785464927,289.91275785464927,224.05293557600763,164.1783878133926,187.393343383053
Buachet,TH3213,2013,46.665801886792444,57.544474393531,231.80724393530997,296.1938005390835,296.64592318059294,296.64592318059294,237.59969676549872,176.85609838274934,204.99487028301883
Phanom Dong Rak,TH3214,2013,39.047781569965885,50.036642879305006,180.62897921191438,258.0236115420416,279.6996276760782,279.6996276760782,223.15401799565626,165.820757058641,184.51388070121007
Si Narong,TH3215,2013,42.62172470978441,45.218988391376456,212.81088999447206,277.28106688778337,287.6394416804864,287.6394416804864,224.2589275843007,162.97473742399112,192.55565229408515
Khwao Sin Rin,TH3216,2013,34.71764705882352,34.57297160243407,193.06328600405675,246.18412778904667,265.81926977687624,265.81926977687624,201.35816430020282,142.83569979716023,173.0463045131846
Non Narai,TH3217,2013,39.089429175475686,37.77420718816067,197.97130021141652,239.4744714587738,291.2742071881607,291.2742071881607,223.13255813953486,163.20264270613106,185.3991279069767
Mueang Si Sa Ket,TH3301,2013,49.963258471237204,48.87438928289993,215.2854609929078,265.4832939322301,320.47415287628047,320.47415287628047,251.41629235618592,189.43181639085898,207.67535214736014
Yang Chum Noi,TH3302,2013,47.30177849636216,45.750687146321745,211.45400161681485,257.2331447049313,312.1811641067098,312.1811641067098,240.9272433306387,179.82760711398547,200.8570988278092
Kanthararom,TH3303,2013,49.34663565891471,48.35928682170542,225.8702015503876,279.1763100775193,317.3527441860466,317.3527441860466,247.19133333333332,187.40379844961242,209.00663178294576
Kantharalak,TH3304,2013,49.45850328227573,60.136393873085375,270.9336805251642,307.1926564551423,308.04897155361056,308.04897155361056,243.9906258205689,181.62275711159734,216.17907002188184
Khukhan,TH3305,2013,47.50426855426855,47.75063277563276,215.11324538824542,276.6971149721149,303.45388245388233,303.45388245388233,239.99844487344487,177.7121943371943,201.4604582260833
Phrai Bueng,TH3306,2013,50.603073214823745,50.37713166616451,221.61063573365476,282.62208496535095,312.9371497438988,312.9371497438988,249.2371798734559,186.50581500451943,208.35377749322086
Prang Ku,TH3307,2013,43.738210166595465,43.158372490388714,205.2804997864161,262.62276804784284,296.0648868005125,296.0648868005125,231.47582229816314,169.75029901751387,193.51946817599318
Khun Han,TH3308,2013,49.99302997472013,55.498717948717946,241.85471289274116,304.5203503069702,308.79140483929234,308.79140483929234,246.83049837486465,184.53170819790543,212.60147842181303
Rasi Salai,TH3309,2013,42.733373349339736,40.99267707082834,198.68681872749102,237.63918367346935,305.50564225690266,305.50564225690266,234.42338535414166,173.41128451380553,192.3622509003601
Uthumphon Phisai,TH3310,2013,44.23927454659162,43.076089222430696,206.34263081092348,252.43693975401288,305.88517823639773,305.88517823639773,237.4093391703148,175.6383781530123,196.3641260162602
Bueng Bun,TH3311,2013,41.33563579277865,39.61397174254317,199.37723704866562,237.72072213500786,304.14489795918365,304.14489795918365,233.90141287284143,172.9486656200942,191.64843014128732
Huai Thap Than,TH3312,2013,42.37944193680756,41.40529339351662,205.24193680755027,255.47279441936817,297.14932293803867,297.14932293803867,229.83963890028727,168.75002051702918,192.17347148132956
Non Khun,TH3313,2013,49.88815527538156,49.92866622428667,235.22013934970147,295.7101526211016,310.95510948905115,310.95510948905115,242.27329130723297,182.15272063702722,209.6354180491042
Si Rattana,TH3314,2013,52.613505424616534,52.69027310138423,230.03782267115605,292.14160119715683,320.92600074822303,320.92600074822303,255.773138795361,192.93004115226339,214.75479797979798
Nam Kliang,TH3315,2013,53.262204978984805,52.95719366311026,230.16256062075655,288.62751374070484,326.76812156482384,326.76812156482384,258.7311671516327,196.95535079211123,216.77902925961843
Wang Hin,TH3316,2013,47.68356353591162,47.02030386740333,213.00341850828733,266.1926104972376,311.15265883977906,311.15265883977906,244.30980662983427,181.7285566298343,202.78044716850837
Phu Sing,TH3317,2013,47.722131147541,54.8124918032787,229.60806557377057,296.7169508196721,300.0704262295082,300.0704262295082,240.16295081967215,179.06331147540993,206.02834426229515
Mueang Chan,TH3318,2013,41.74455958549223,40.4460103626943,204.1134715025907,247.42217616580314,300.81191709844563,300.81191709844563,231.50165803108808,170.70051813471505,192.19402849740933
