system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
0000000000000000037b,Na Muen,7486.264332775042,5512.527832981184,7133.586312581979,5472.005943029068,7719.376202458961,1453.802307506636,1014.8241576447208,182.41319216676789
0000000000000000037c,Santi Suk,2817.131219652587,2342.4243013793352,3455.562181940266,3725.1208077692518,5295.297455271553,1057.6709047747593,620.8511222783256,110.37351303287579
0000000000000000037d,Bo Kluea,7300.93513036055,5611.073179346909,8163.564292173759,9637.325976850469,12897.60359654146,2383.848393791797,1858.6376327823189,351.5015685548969
0000000000000000037e,Song Khwae,5124.309008248647,2561.665308689603,5255.618601778443,7290.9459892646955,8505.94500870611,1743.8083891382405,1854.8385255028222,138.51973826137242
0000000000000000037f,Phu Phiang,3344.4605312403514,2527.6180047596204,3457.222662774254,3394.956148769342,5558.096840301217,1197.5682878456862,418.5728512670479,105.2852967977524
00000000000000000380,Chaloem Phra Kiat,4763.390525823482,2982.0521370738165,5181.296350635268,4490.653727175207,7815.893340890547,715.4668301227047,1587.4737679911593,176.34080375690084
000000000000000000b4,Mueang Phangnga,5880.15465333228,10072.67128254012,6650.573818099264,9104.402470521367,8295.66953497494,10131.117429684658,5878.19503995297,3075.2962566712317
000000000000000000b5,Ko Yao,1027.8264984042037,1369.9707487293317,950.0723492201637,2042.069581061718,1800.723319722157,2074.147517290302,1237.3639792545168,599.9033344885881
000000000000000000b6,Kapong,7313.379515539432,11458.061381482144,8766.034408928366,11037.662904679542,11572.788189301771,12202.700031550725,5875.510710806006,3092.75340311574
000000000000000000b7,Takua Thung,4475.646684825188,7849.953831734377,5110.7592234293625,7878.076781658098,6533.0437138622865,9656.302140587455,5003.091794761957,2291.4801412516945
000000000000000000b8,Takua Pa,7108.105775172102,10881.700219504039,10879.526199327733,11287.655828887342,11828.734840555751,12018.25578489397,5325.9064209395765,1549.3172095663406
000000000000000000b9,Khura Buri,9154.258090488582,16882.026298656652,17683.564938244166,15869.79328435262,18404.55094809719,15671.793331098555,6826.240950579734,2203.6440262469596
000000000000000000ba,Thap Put,2775.993647279926,4554.105088026385,2682.1697035621196,4193.03278238633,3821.1012902914313,4750.608542290856,3301.7787164239326,1809.5750260053899
000000000000000000bb,Thai Mueang,6893.823399548438,11271.8077058923,8245.875745820065,10829.921762103662,9985.794324888904,13340.91453313734,6429.878819749871,2442.846591770883
000000000000000000d2,Mueang Ranong,6851.096293481191,24010.3498201632,26824.56756110846,10570.771966608838,18509.158863621138,12354.048561979744,5665.51190561033,2123.0303016553908
000000000000000000d3,La-Un,4245.29395424338,13982.763520121105,14438.056354818158,5595.823855300979,9494.434111404418,7346.794957049688,5299.06984948364,2521.3176810044865
000000000000000000d4,Kapoe,5027.610427396438,12488.752782668314,12373.167605037315,8315.907505929234,11892.628485806781,8263.565219541622,4323.64488665076,2275.2070871409255
000000000000000000d5,Kra Buri,7219.6098912304515,24821.772750804004,21513.82345760944,9800.256780407477,12327.488096622394,11274.162577904908,9424.223029260076,5238.606095434638
000000000000000000d6,Suk Samran,4990.75528199252,10817.846056314544,11737.480314767128,9262.31983015397,11446.439672922621,8418.242996612249,3367.583846663494,1949.1865653566283
000000000000000000d7,Mueang Chumphon,3566.3750101358287,12483.949826771604,8258.765492423378,4490.918155954399,5239.487672347648,8076.944723288219,8129.88841494953,4478.41173992531
000000000000000000d8,Tha Sae,9352.107661978405,27994.955481041176,19660.805909736486,11166.421972580516,13492.095379676073,16984.84158847939,14845.460347327065,7255.105659802754
000000000000000000d9,Pathio,3027.8985341123503,6127.566400213334,5617.441665004282,2975.313138936081,2819.1752250484396,9533.60328269566,8714.970094433953,3354.481651182735
000000000000000000da,Lang Suan,2404.083893691792,6279.251087839464,5221.611039440304,2602.629835907618,4426.787752966785,5221.256134223003,7780.198398201137,3193.383184866812
000000000000000000db,Lamae,1578.398789327051,4213.355481848997,3540.569268511791,1795.116977659861,3052.8807564454924,3397.2375451265593,4760.79180605318,2055.7579599978876
000000000000000000dc,Phato,6508.992859708562,19924.816895567204,20270.20342396007,8591.498811688141,16126.659439221548,11210.633237816306,8205.404170108308,4267.740007549173
000000000000000000dd,Sawi,3398.506549935247,10829.000167577411,8033.335061391195,4252.729997172075,5749.628486268661,6612.904841852189,10117.658000738482,4977.28430947042
000000000000000000de,Thung Tako,1131.5225755065094,3504.3909152610627,2610.475273171593,1347.1739614402545,1898.8923914909362,2525.4178633409388,3992.098417973051,1656.7615498262294
000000000000000000df,Mueang Songkhla,1055.3337609019932,702.545307751263,495.81312376003643,1101.3438991864523,1008.6768784307966,1514.0771095790117,2975.8313888493703,4839.201754375533
000000000000000000e0,Sathing Phra,1023.3335405200136,494.3485316514969,438.1854385707893,809.0562818695518,666.3715783582013,1436.6594525879505,3539.9966237666554,3811.4330618072954
000000000000000000e1,Chana,5041.265783102373,2380.188131770667,2020.5692017798328,3982.0227203640284,4353.855608215521,5619.8059365870895,7542.531917878693,11981.72548196082
000000000000000000e2,Na Thawi,7499.834924634299,4263.266700420193,3160.7636441277523,6002.917463662578,7830.341467242149,9273.947776052064,8189.358501125784,14040.391282117136
000000000000000000e3,Thepha,4622.852051600286,2436.0170868116265,2208.6410401512594,4063.0384971819667,4139.151222956414,5902.561076517667,8017.954706416412,13611.836182553161
000000000000000000e4,Saba Yoi,8803.363881502899,5377.454940487824,4075.35629044701,7210.066093165267,8836.863877264657,11734.95840768253,10934.697183429493,19635.52039630366
