system:index,admin2Name,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
00000000000000000089,Tha Yang,0.468468867745341,0.4934401293927143,0.4618153140838288,0.3416092701104431,0.4171157609317103,0.49848732551946684,0.5530468574694118,0.5360293153902534,0.478653728260352
0000000000000000008a,Ban Lat,0.4487533578832719,0.44445162073330136,0.4295586940734355,0.30642812963351057,0.30769283030087574,0.44736434190266405,0.49625775692302143,0.4340368262820766,0.4164525550473294
0000000000000000008b,Ban Laem,0.25817303727378554,0.29604249642882147,0.4282446215574199,0.3825353894776698,0.20240587280518613,0.2985352032986893,0.3385525601396032,0.6260767052478232,0.37753760740613
0000000000000000008c,Kaeng Krachan,0.48256222547778027,0.5079851478875688,0.4974464958804397,0.40259387274766795,0.5246224861931561,0.5381336770556322,0.5653777577474404,0.5061386851400376,0.5133386698063189
0000000000000000011f,Mueang Narathiwat,0.45962329757004333,0.5085112709949475,0.5432678163409428,0.5087399896575411,0.5309177149433469,0.5194860166460271,0.4062803246815588,0.4995915629872702,0.4935562939752948
00000000000000000120,Tak Bai,0.3782438192112263,0.43858451864984477,0.42274474269296203,0.4739645693852644,0.46602902591220774,0.46412579382160335,0.37421703292300296,0.4250041422956827,0.43240834407774725
00000000000000000121,Bacho,0.4360353238742981,0.5345719699070768,0.5496907521803132,0.5526606917921337,0.5611390198820199,0.4831042932770094,0.4081326457991368,0.5324487831386453,0.4906354284878988
00000000000000000122,Yi-Ngo,0.43873889276668554,0.5377532243909218,0.5467446094398822,0.5377317023944621,0.5498539036007961,0.5056296886043585,0.443832828187163,0.42732060125644433,0.4985895695805818
00000000000000000123,Ra-Ngae,0.5556903939408198,0.6033162811299954,0.5886868053170663,0.5990133533210374,0.6428323424999262,0.571112960028652,0.5402177699998831,0.5283903812675093,0.5826473066489563
00000000000000000124,Rueso,0.5133140316154902,0.5691519746998003,0.5728070705867339,0.5651441133770635,0.617992958012439,0.5196546450696348,0.49138432669952314,0.5600288490046127,0.5481316651997515
00000000000000000125,Si Sakhon,0.6296824732638397,0.6369515219935817,0.6548399127581431,0.5954081532468054,0.685911285695107,0.5911682573950774,0.5742095606086319,0.590272201315255,0.6175294563203917
00000000000000000126,Waeng,0.6356804424802875,0.6183643712075175,0.6020677235695823,0.6200473991154632,0.6371510194947685,0.5983110385341475,0.5534242640492066,0.5532097441095865,0.6025354567639262
00000000000000000127,Sukhirin,0.6615053337696789,0.6240244833448145,0.9076434708654416,0.6025265907450107,0.6387398736423515,0.6165413858183468,0.5486627076574224,0.5805601743474497,0.6374795899935239
00000000000000000128,Su-Ngai Kolok,0.4888641480735627,0.5630667797392348,0.4870023801091065,0.57575018649908,0.597528877342678,0.5651173571902055,0.517267611271865,0.5530252108094521,0.5455814432461272
00000000000000000129,Su-Ngai Padi,0.5260006107985629,0.5917981238440958,0.6005701953313011,0.5403860896377408,0.6433718586831991,0.5634514583071553,0.5486684683900199,0.5606662357533203,0.5550131378777874
0000000000000000012a,Chanae,0.5717192186886632,0.626202401594226,0.5522942049679915,0.6122377411602274,0.6573492378924589,0.5616846117983035,0.5328715482925139,0.5642739392750353,0.5919071867067506
0000000000000000012b,Cho-Airong,0.4994228274454754,0.5481214414264495,0.4686622284615956,0.5486951784427763,0.6069128022605023,0.5508914556303698,0.4859401224254086,0.49942741507044996,0.5258503924928385
0000000000000000016a,Mueang Pathum Thani,0.2740201665388241,,0.41757083467393413,0.4337579784642975,0.35648911567976976,0.3884028150432767,0.3440039349706344,0.3642743344528164,0.36671318054381197
0000000000000000016b,Khlong Luang,0.2449736401389258,0.47190872779682796,0.4609265583266832,0.4489123830443632,0.387891211918303,0.3764585287906133,0.4434914002084489,0.40835804244205665,0.39360616423069117
0000000000000000016c,Thanyaburi,0.3321966610931252,,0.4898893019819254,0.4100630036031609,0.4702041315073984,0.4323301635721025,0.4324677722415527,0.4156210517783715,0.40546491348413277
0000000000000000016d,Nong Suea,0.34844388436980195,,0.39992544936283325,0.43104787222170726,0.4020673988352762,0.3920359898897235,0.4420127346484622,0.4204549654130166,0.4075130695697758
0000000000000000016e,Lat Lum Kaeo,0.2714974134953422,0.45287200140592926,0.4332185621311346,0.41013397778923383,0.3902335750934602,0.34132931108652703,0.38427344590489126,0.43536500905124037,0.38234700769012575
