system:index,admin2Name,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7
000000000000000001e3,Si Mahosot,33.58103938448258,32.682546687471714,31.884959876019042,31.65320394764778,32.07277261485226,33.08906219040141,33.51858405514042,32.828603782556264,25.54722325421764,26.038195623867775,25.84551311990492,25.540686742810262,25.045892378212773,25.11868657651157,23.525490581125474,23.04174998251681,28.670802594613363,28.651045160708247,28.254666756892572,27.880158045672015,27.91974894205731,28.401724906589696,28.093615855341394,27.66984330199261
000000000000000001f1,Mueang Nakhon Ratchasima,33.41182495277387,33.27837443914942,32.0384590969937,31.69418020974309,32.074393969758624,32.745554297740085,32.00621756005477,31.087477092734108,25.049511850912765,25.95098957852744,25.515147119557163,25.06821526154448,24.595590922838767,24.296103173603875,22.204519509142802,20.890333502708984,28.343452369509745,28.808542855330362,28.104318233299782,27.726103054256914,27.691568085277517,27.845031754301004,26.679551100042573,25.834517848839553
000000000000000001f2,Khon Buri,32.267153736212954,31.515723795637218,30.566162258829195,30.252197268839087,30.84729620525248,31.50993507871384,31.682074935615802,30.387606383863318,24.05535505233534,24.649193386180354,24.443316147388963,24.06135280743722,23.669234215453674,23.395773511487874,21.62190994656421,20.452178383068528,27.092923434851624,27.210136269744687,26.73872527031602,26.340329164301135,26.486425043621356,26.712509251695508,26.1775682028499,25.18339335464013
000000000000000001f3,Soeng Sang,32.48225556379596,31.868707726436607,30.938165612690625,30.593341566681637,31.152815895960288,31.74423542462557,32.031995284682324,30.54843490098171,24.2219916449653,24.869366931715373,24.649803858982967,24.24805988815598,23.875644637453753,23.52228196821875,21.709775938277996,20.435781790351957,27.24660634294748,27.46990634750272,27.01690098664548,26.571986312386397,26.712571498782903,26.888697514244114,26.415059903382776,25.26296357928584
000000000000000001f4,Khong,33.926023653964045,33.576025358549494,32.05489695780988,31.84207423213011,32.407892730071396,33.39048407843882,32.49217006923919,31.557534543407886,25.266233857759147,26.01087916835295,25.48451659972964,25.016157934973574,24.790047324240774,24.5515709633584,22.322210633790554,20.85994158625037,28.728752896878834,28.996902442909246,28.189709303114174,27.748808925502676,27.933305986650733,28.333946929106865,26.93534210021792,26.065819596865243
000000000000000001f5,Ban Lueam,33.25362854003909,32.75352172851565,31.194834391276064,31.242962646484397,32.08870544433596,33.15243937174481,32.22479654947919,31.12085068646601,24.82762858072919,25.476260375976587,24.99594624837242,24.554821777343772,24.459235636393252,24.318416341145856,22.028538004557316,20.500026209214177,28.233113606770857,28.38070475260419,27.560943603515646,27.200892130533877,27.54939168294273,28.081592814127628,26.61676940917971,25.647885670381456
000000000000000001f6,Chakkarat,33.71523521649694,33.614521584502505,32.32852836995019,31.92102324534047,32.261786543761275,32.99177387763486,32.32439998606739,31.35417341274008,25.219283732735487,26.051187133789085,25.5797553523465,25.154634741338782,24.729037646015716,24.38660621842791,22.249789854785348,20.89805319750535,28.541435595873576,28.991385271162287,28.297416013281612,27.836456495887553,27.825299450406668,28.01929478936589,26.866556659585328,25.953496470449913
000000000000000001f7,Chok Chai,33.33263166937638,33.239583104172056,32.051057182563554,31.698946998232906,32.014729974208755,32.70331196767509,32.78106384277346,31.467606066239615,24.96011415698155,25.872226019220058,25.545634013305243,25.10184513972358,24.570146358056846,24.191290255256646,22.387309348976242,21.040583853545947,28.22307271433403,28.72206702599161,28.099810768658443,27.67441120077841,27.617459603893035,27.776283823090182,27.13900583567639,26.06226296304657
000000000000000001f8,Dan Khun Thot,33.183214758250365,32.793058488914156,31.348699078940843,31.154003261009215,31.679033232129335,32.61030141446875,31.93663045919962,31.15972532050728,24.945081583658883,25.598231167964066,25.00240854310598,24.57129519333855,24.35338558480761,24.378769805740085,22.394934233358104,21.116464915852806,28.244973525790826,28.41160491859291,27.52213006978523,27.15652044206942,27.368455278380864,27.78693176773956,26.736990310206583,26.009188353557548
000000000000000001f9,Non Thai,33.53459219932559,33.22339816093447,31.876218022240558,31.61270094977487,32.0644705878364,32.824602715174386,31.93782251675926,31.107949487835768,25.08232880168493,25.893107398351056,25.35876677301197,24.899114380942475,24.565707763036116,24.393079376220726,22.245072099897623,20.86328368747938,28.442130729887243,28.765020227432274,27.969329145219614,27.598464081022495,27.67469907336767,27.94698412153458,26.667762957678924,25.860455005309184
