system:index,admin2Name,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7
000000000000000002c5,Na Duang,91.5588686481304,136.6084851390221,95.89477468839885,113.52171620325984,115.3749280920422,99.19918504314478,68.42804410354748,54.17468839884948,167.7729146692234,142.956184084372,143.86994247363376,113.52171620325984,115.3749280920422,99.19918504314478,105.35172579098756,101.95249280920423
000000000000000002c6,Chiang Khan,86.58654920498498,137.80833691448217,95.24847443059735,108.02595616673828,114.68225182638591,100.26837129351098,67.89187795444779,56.71761925225613,171.2239793725827,137.80833691448217,139.77232488182213,108.02595616673828,114.68225182638591,100.26837129351098,103.97511817791148,100.6327460249248
000000000000000002c7,Pak Chom,89.10000000000001,137.0,113.4,108.5,113.45000000000002,99.80000000000001,66.9,55.85000000000001,168.35000000000002,137.0,137.60000000000002,108.5,113.45000000000002,99.80000000000001,103.85000000000001,100.05000000000001
000000000000000002c8,Dan Sai,72.66689576174113,138.7471554028255,96.99308896525393,113.15857197403592,113.45964108438336,99.25559373806799,64.6105765559374,53.31725849560902,167.1938144329897,138.7471554028255,140.19064528445975,113.15857197403592,113.45964108438336,99.25559373806799,104.74329896907217,101.02042764413899
000000000000000002c9,Na Haeo,93.04188790560471,137.4834808259587,114.52359882005901,110.2047197640118,112.8014749262537,100.99410029498526,57.44542772861357,46.349557522123895,167.87522123893808,138.59852507374632,137.20206489675516,110.2047197640118,112.8014749262537,100.99410029498526,105.32123893805311,101.80235988200592
000000000000000002ca,Phu Ruea,71.11033274956218,137.00253940455343,98.98336252189142,110.23712784588442,112.32311733800351,99.1391418563923,67.20070052539405,55.016987740805604,165.23590192644485,137.00253940455343,137.56112084063048,110.23712784588442,112.32311733800351,99.1391418563923,104.31182136602452,100.39290718038531
000000000000000002cb,Tha Li,76.32113916617733,137.5330593071051,105.93088667058133,108.4726952436876,114.46065766294775,100.68003523194363,67.34650616559013,55.13957721667645,171.21867293012335,137.5330593071051,138.9763358778626,108.4726952436876,114.46065766294775,100.68003523194363,104.33605402231358,99.1139166177334
000000000000000002cc,Wang Saphung,81.06761904761908,142.5162084456424,101.3635579514825,116.91236298292904,117.19626235399824,100.22373764600182,69.65960467205753,54.72316262353998,169.63705300988323,142.5162084456424,142.72592991913749,116.91236298292904,117.19626235399824,100.22373764600182,108.05259658580417,103.11626235399822
000000000000000002cd,Phu Kradueng,72.74225199131065,143.53077480086895,89.70217233888488,121.20253439536569,118.50054308472123,99.61307023895728,70.82244750181029,55.73175235336713,169.4534033309196,143.53077480086895,143.8272628530051,121.20253439536569,118.50054308472123,99.61307023895728,108.70264301230992,105.59681390296888
000000000000000002ce,Phu Luang,74.83511369645692,141.72147012162878,112.3328397673189,117.47477525118987,117.0051295610788,100.12876784769965,70.39820200951878,55.04331041776838,169.68328926493922,141.72147012162878,141.08900052882075,117.47477525118987,117.0051295610788,100.12876784769965,109.23696456901114,103.1498677948176
