system:index,admin2Name,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
0000000000000000006e,Mueang Suphan Buri,1.1560306705385575,1.6018332415692391,1.6995487631119621,1.3248955489370082,1.1257368391356608,1.2953847794226985,1.1844818266658665,1.1885773680065705,1.2687614045131166
0000000000000000006f,Doem Bang Nang Buat,1.4303710309287598,1.6755045075904906,1.8880721569158732,1.1122063231162918,1.682155555901403,3.314099591720906E8,1.4643604988076873,1.2185147540528427,1.1046998724220857E8
00000000000000000070,Dan Chang,1.473759508663378,1.510685941361003,2.0308439121718522,1.4949278621359197,1.8075202106496209,4.274404624003518E8,1.771079837793206,1.5247452398419998,7.119752793167542E7
00000000000000000071,Bang Pla Ma,0.8080311723911225,1.521066054164623,1.9015077234081943,1.0461266533175597,0.5166299296025822,0.4205331209238607,0.32231743351994885,0.9726461110877495,0.7769664860649822
00000000000000000072,Si Prachan,1.3979596100010871,1.5905382348602393,1.7447474321310514,1.09754970240013,1.4294732977659423,1.7813064498732765,1.5464612573168435,1.180823817259453,1.4918769074186375
00000000000000000073,Don Chedi,1.4114541953021058,1.3561612359464015,1.2696011102738807,,1.5912670770127166,1.732372547489633,1.6061438854279892,1.2024069516109628,1.4785546500940996
00000000000000000074,Song Phi Nong,1.1750273596574101,1.5407424430519485,1.6263645187481637,1.483989877590022,1.3327284607613528,1.3579455425260076,1.2019224261063302,1.3981998835813412,1.330170157659629
00000000000000000075,Sam Chuk,1.5268493689348517,1.7265259567977915,1.7703569449985486,0.9680143931972235,1.5992083464468454,1.7926016854516031,1.5787217999694039,1.2652181431553238,1.585648523149272
00000000000000000076,U Thong,1.2797621387418296,1.5157934856117117,1.4103120260783435,1.3310411406293254,1.41777247173326,1.4972602171962737,1.4312131168695197,1.2652359688976855,1.3995273485310502
00000000000000000077,Nong Ya Sai,1.7633767679155943,1.5655528059349584,1.2999899134041963,1.5674909818581166,1.8251632441215921,1.5150910427660892E9,1.7569560321352002,1.35087989094924,2.491019035443329E8
000000000000000001d2,Mueang Chachoengsao,0.9430824035759596,1.2137069844971404,1.9330345079359141,1.3811955481837948,2.0647251383583596,1.0098022966254492,1.319856970600096,1.4931316643337802,1.3341642139131178
000000000000000001d3,Bang Khla,1.0404488407600463,1.1759874043543073,1.541773211720858,,1.3585179340932048,0.9272642636830238,1.103071017508122,1.5608153043092938,1.190578384995133
000000000000000001d4,Bang Nam Priao,0.8844322130336779,1.3212946352271253,,1.4114536199009158,1.4436354266022693,1.0651891947521546,1.5076217345290324,1.6714648549351094,1.3147361398120492
000000000000000001d5,Bang Pakong,0.7504911467738205,0.8572597191235043,1.5515557239584936,,1.5649261476397258,1.0768639107290328,1.2151850478844222,1.3029634942200277,1.169837263562569
000000000000000001d6,Ban Pho,0.988577968437393,1.0667548807503566,1.5416344240792295,1.5144276226883144,1.8328489108543202,1.0498733277457886,1.2686196349992969,1.3767894069938753,1.2719861863205277
000000000000000001d7,Phanom Sarakham,1.5283974266979292,1.5985161970855637,1.6458930865886752,1.5539668940603246,1.6989971367973882,1.266076740588553,1.2829780905403292,1.328693751035371,1.4725229187755877
000000000000000001d8,Ratchasan,0.7832146196108855,1.2867550676242474,1.5971430429284559,0.8462958424467724,1.0837369670189987,0.5721795623353872,1.0296647333652826,1.680932863548602,1.0964027191325354
000000000000000001d9,Sanam Chai Khet,2.1639197278968445,1.7418466746854224,1.7528891434144316,1.8671392450986437,1.7871496797821673,1.6050251672747324,1.4666194066776854,1.2901338574609427,1.6787646218990055
000000000000000001da,Plaeng Yao,2.0787849275317574,1.7001212478026015,1.7391772070138396,1.8299637541860834,1.7369212899771018,1.5881793090607959,1.4801412626791333,1.3390969250944984,1.6663528822474996
000000000000000001db,Tha Takiap,2.1326719965045595,1.7584024077947435,1.7803089421400822,1.8741913652769728,1.8219572349452735,1.6192630360600448,1.4927384184693586,1.3015742895000408,1.686215170212053
000000000000000001dc,Khlong Khuean,0.8376483517437201,1.056646503153193,1.8257704511321902,,1.2097074347718368,1.1690243458549405,1.571465997336403,1.5422562001961109,1.2410163428949241
000000000000000001dd,Mueang Prachin Buri,1.070974229217228,1.3199086924881764,1.6056076221621414,1.709851588062702,1.4235609311706787,1.3586385725637171,1.4127566988401137,1.2719245425472179,1.328346851825108
000000000000000001de,Kabin Buri,1.6517099958562707,1.536595347879676,1.7065984596921877,1.6789037275691845,1.6537251499260175,1.5096460929319429,1.4216817496555825,1.190235112168025,1.5019965193979115
000000000000000001df,Na Di,1.4205041330893389,1.4962746119920607,1.6865909240004793,1.6921642197251063,1.755594763506068,1.5919530260942274,1.4672841255823166,1.2218180707811772,1.4749777791600223
000000000000000001e0,Ban Sang,0.872684647483928,1.3672054380057974,1.7306765602487786,0.5241763622565345,2.314797255613202,0.47050722018622126,0.8342114247908088,1.889496508858035,1.2464115056640483
000000000000000001e1,Prachantakham,1.2675587614725603,1.3644933558459442,1.5526042793696502,1.2659542147244347,1.479794178253371,1.3849231386959588,1.3760860632266583,1.1998815478804368,1.3502270520373474
000000000000000001e2,Si Maha Phot,1.451246919536524,1.4996199216798716,1.691783633316756,1.7792435360344059,1.5056589472383293,1.399304020436925,1.4009707398457945,1.1905470318333953,1.4434443555212042
000000000000000001e3,Si Mahosot,1.1590501130366853,1.5445702577731715,1.7072652478447747,,1.0373770479858246,0.9390509738353171,1.2587667203799637,1.5977316908691248,1.3116466572752377
000000000000000001f1,Mueang Nakhon Ratchasima,1.3223357365493242,1.2441931952700591,1.1896684143343654,1.4087971512512463,1.5582156743489028,1.5872032732258876,1.4386218129078383,0.986614607495096,1.3381074484977749
000000000000000001f2,Khon Buri,1.326082920002201,1.4853749653022938,1.4851018660162196,1.5026296812461453,1.5071567741435483,1.7116776509864224,1.6758137500692873,1.1424195386086111,1.4566715709696547
000000000000000001f3,Soeng Sang,1.5049612319275754,1.4975362225632671,1.4839541557283586,1.3596395351461614,1.4782472792336663,1.5841023918067059,1.627800617904789,1.2937066258258858,1.4867358270892579
000000000000000001f4,Khong,1.1286305659183056,0.950503671944616,1.1469256900224138,1.4473456768250108,1.425365495104889,1.4844378444842063,1.275638795501749,0.8956221306423721,1.194218870219171
000000000000000001f5,Ban Lueam,1.347330944606549,1.3377955599090081,1.2315395989213604,1.5071714664543263,1.4836364651138871,1.5593851480096297,1.3418101025346358,1.058411573088458,1.3396019128109407
000000000000000001f6,Chakkarat,1.3618727271857938,1.1641122300472633,1.2969110473633798,1.7149224432306827,1.6624179503717686,1.6199562137700099,1.5029578644876374,1.1907731721299188,1.4168196362242496
000000000000000001f7,Chok Chai,1.3084122913449976,1.2064472983264387,1.2033856763554451,1.2294282086558226,1.5833394416264275,1.6125630518784813,1.617087055427912,1.044039380145429,1.3503838648509299
000000000000000001f8,Dan Khun Thot,1.2674963565380168,1.222577745180758,1.121901352838354,1.5433430171089915,1.8121485108369155,1.6426960768752972,1.3104208955528884,0.9164552613837111,1.3362926538935207
000000000000000001f9,Non Thai,0.8349121717126687,0.8668517912524533,0.9819758227750163,1.155699387214466,1.4029031929728604,1.4613592176009245,1.151401354772748,0.8114941733964244,1.081643639589502
000000000000000001fa,Non Sung,0.7811130750427141,0.8457622246036179,0.9793660235815557,1.1115567118885887,1.3046975940479573,1.3916145666062476,1.151864582877288,0.762606684993184,1.0344427926412614
000000000000000001fb,Kham Sakaesaeng,1.211800370417705,0.9543718747601073,1.253124716950345,1.681873634293875,1.6113020793601167,1.661214700973125,1.470849820663001,1.034846638664368,1.3247915755149882
000000000000000001fc,Bua Yai,1.0697988593553547,1.040760903568074,1.1786472814337332,1.3796844704026658,1.4649935522731778,1.4442032384897827,1.1946408567431883,0.861794330777721,1.1786603413210943
000000000000000001fd,Prathai,0.9313108870656793,0.9226994071355746,1.1222486430175227,1.3923251448803675,2.45659016005928,1.4021980590960779,1.1914187693123806,0.7454333328293847,1.2599865699014734
000000000000000001fe,Pak Thong Chai,1.491121242677529,1.440089027424317,1.2206957097371836,1.383127148212957,1.6225546334333067,1.753466496208054,1.5883908276175864,1.003104760987686,1.430976338202576
000000000000000001ff,Phimai,1.0859176532216408,1.1042491359984732,1.2582500275358068,1.5838537318330514,1.849155877479777,1.464002824159602,1.2243165316611455,0.9484887710296038,1.2914874842702952
00000000000000000200,Huai Thalaeng,1.5896377437400009,1.0406767453269126,1.1898533711810575,1.5364759777612587,1.6120059717844732,1.602891561773016,1.398432766260393,1.090640174338818,1.3679294099188006
00000000000000000201,Chum Phuang,0.9110273020208594,1.1141465963029293,1.2891535213833942,1.5161499064991317,1.8576862834682575,1.4935298481924408,1.1849291382056355,0.8458809930673623,1.2530215818933175
00000000000000000202,Sung Noen,1.5137095797893267,1.3163515444547478,1.1793102414357326,1.4842356737200335,1.8064646742270265,1.7975680129391896,1.3609025037473148,0.9229726872117795,1.4144180719634625
00000000000000000203,Kham Thale So,1.281227982221569,1.2196145344781166,1.2078419691369962,1.5545528320794066,1.5434771247496932,1.4763410325530948,1.2291801091075487,0.8919230696394268,1.2779182087867216
00000000000000000204,Sikhio,1.453945700821346,1.3990848311313824,1.1429637247276874,1.4079010036892963,1.826136795226653,1.6093384643345034,1.3044418014627845,0.9634480384210683,1.397007761115468
00000000000000000205,Pak Chong,1.5915869849845672,1.5916670687544439,1.5051507801516446,1.4651449302914388,1.9141353724228878,1.995686059784536,1.6083392354599069,1.1843808377288654,1.6164152715410065
00000000000000000206,Nong Bun Mak,1.0306759920496835,1.2546522019485742,1.4078910252329528,1.944912304016342,1.7798267296366064,1.8237555198497917,1.7740466954441438,1.3402560336560627,1.4791790220612773
00000000000000000207,Kaeng Sanam Nang,1.2201104999974606,1.3250190160893747,1.3376515271385392,1.527365001561205,1.6542098905368299,1.6749129164457206,1.3503589469751311,1.050493599193452,1.3736348540126175
00000000000000000208,Non Daeng,0.945248723235348,0.949879952460768,1.2449705113296834,1.3303953168156526,1.8455483392347758,1.2382095194267846,1.0641031494450894,0.7066484933953078,1.1556914482531147
00000000000000000209,Wang Nam Khiao,1.5636179267730623,1.5520982551009064,1.4080991553727804,1.2733719005830815,1.8707118486065044,2.0361066018849456,1.6995850354361748,1.1065085731852287,1.5774087958355323
0000000000000000020a,Thepharak,1.2644378107462075,1.3070009182831135,1.4412059168167752,1.5421777448406322,1.721223884295905,1.4893670708961158,1.2431271178460324,0.9565100424145712,1.3147636521227222
0000000000000000020b,Mueang Yang,0.7583068216807363,1.1601713604901394,1.211997597429785,1.517919784956899,1.972375136222038,1.4954479083480974,1.0183577248052726,0.6636705600464069,1.185026938538316
0000000000000000020c,Phra Thong Kham,1.2227699224375081,1.2641526076041185,1.1719484711219026,1.4796241318246364,1.65332904444825,1.6746763540097926,1.427023493358842,1.0627237691076745,1.3645399418819628
0000000000000000020d,Lam Thamenchai,1.0124424438039097,1.1711045864179732,1.453193603156747,1.564229648451665,2.064275853929044,1.7090073089533622,1.3147971830528982,0.960864512799003,1.3922835621884078
0000000000000000020e,Bua Lai,1.040043577433836,1.0063310256917812,1.2081945118898065,1.728852250602721,1.654350580869826,1.4367428892395224,1.3591378162052032,0.9219055508345843,1.2329072005401707
0000000000000000020f,Sida,0.9741061422859844,0.8722217865029341,1.0381815261275946,1.3355758802754008,1.5101452348894553,1.3235628083798305,1.2045501987662761,0.7597314842094786,1.0987481554606142
00000000000000000210,Chaloem Phra Kiat,1.4059553342197932,1.1206105635283334,1.2785379596065896,1.682777878283066,1.6340886257422904,1.6349294131488095,1.4657876445244669,0.9960027122173664,1.3725034366810183
00000000000000000281,Mueang Amnat Charoen,1.6452091515431597,1.0695979757511975,1.1895148894264407,1.2331534706315384,1.56560979657988,1.5398627870264774,1.31673830907437,0.9025028871703101,1.3017064812346693
00000000000000000282,Chanuman,1.9113169408418536,1.7932774790529133,1.8235056572714297,2.0027459741626426,1.8965227956493425,1.7002205000849226,1.4411227341974486,1.1556396681130339,1.6280864427175115
00000000000000000283,Pathum Ratchawongsa,1.7842844160415623,1.3922218874845125,1.4781522498628055,1.5923862386873198,1.6387659677348116,1.6186173158893726,1.2885823360512847,0.9572166521947713,1.4515745107760156
00000000000000000284,Phana,1.47276036805295,0.9541101539251146,1.2128896210766391,2.5641981907916787,1.580961588460278,1.5885293446166362,1.2708912249629014,0.9229527016517813,1.376417415336808
00000000000000000285,Senangkhanikhom,1.3853274637972364,1.028447092612936,0.9972965283933848,2.347615473814733,1.5581512139008502,1.5754922506745201,1.3637038071603895,0.9215548361632931,1.3048057608888928
00000000000000000286,Hua Taphan,1.4668783017671163,1.117866983374431,1.2136872564043408,1.3379325915131692,1.570664558681479,1.508491876531498,1.1641330119899325,0.7969276358025357,1.2364915187016132
00000000000000000287,Lue Amnat,1.2910152854817067,1.1141166975572407,1.1992545198360027,1.8201210258001195,1.6136140896585225,1.568813570433579,1.2474965318944002,0.8227591338250076,1.2669389889002196
0000000000000000039c,Mueang Mae Hong Son,1.4667132982842783,1.5745162862712476,1.679058173719559,,1.7830770380216316,1.8991343192228995,1.7034246325312516,1.2356493767391314,1.6150302727563797
0000000000000000039d,Khun Yuam,1.437812220663184,1.6021338205485152,1.3499918981696488,,1.9619401420013043,2.029237603645148,1.687307868434665,1.2871933217807585,1.656245026705895
0000000000000000039e,Pai,1.3216622012421873,1.4220864007401293,1.4301480308725656,,1.803643264531735,1.756015518151097,1.481654818328479,1.1793334986147608,1.4976099389507456
0000000000000000039f,Mae Sariang,1.1884167682379412,1.3734078158399672,1.414632708681184,,1.6475544011356256,1.6768209772777924,1.3989476484994816,1.1328540194478676,1.4187966304591064
00000000000000000082,Mueang Samut Songkhram,1.431923076739128,1.4612625651509703,1.5158576027628554,,1.5578714932611524,1.7155781394163327,1.4226423023615378,1.4122957049616949,1.5022573462218876
00000000000000000083,Bang Khonthi,1.8184504548223128,1.8087951886865816,1.8313701502751087,1.3699110657161822,1.981250353293813,2.1903941708899897,1.7187754061926142,1.7610527202880626,1.8568022137540905
00000000000000000084,Amphawa,1.7305665417731269,1.7088469139178966,1.5897767628279762,0.7370380624280725,1.951435483063465,1.991588491146185,1.6963186361346372,1.5574024048793031,1.7449039875815122
0000000000000000015e,Mueang Samut Prakan,1.402895835634776,1.4572104814905718,1.1701429075337275,,1.4811096930390728,1.4742583692182527,1.3340518800730237,1.2127470118729708,1.3908531191533375
0000000000000000015f,Bang Bo,0.6555576096541648,0.8077905684927141,2.1489783520128913,1.514936049588494,1.1996825046566122,0.7043380227078859,0.9926274423798873,1.489132656710447,1.0014658485749626
00000000000000000160,Bang Phli,1.4942246886612764,1.4962086497359224,0.9989547238050874,1.184630482865225,1.4972990552605392,1.4757493315881802,1.4104388758956792,1.2727527986535327,1.4424386647562257
00000000000000000161,Phra Pradaeng,1.7619557856663424,1.9417910055977068,,,1.974336364638189,2.9923647502247634,1.7533860924555527,1.5488690301858787,1.9907639895653368
00000000000000000162,Phra Samut Chedi,1.3345802835769676,1.3319241800462744,1.2138808785649504,,1.3808539305215202,1.2275596376515627,1.1755791373071234,1.1190805320907695,1.2668161237738185
00000000000000000163,Bang Sao Thong,0.9451242673884326,1.1626896770123976,,1.3323285565844005,1.6531740399352266,0.9011987918944521,0.9005621426533204,1.2974827730616394,1.1378766086091008
0000000000000000024f,Mueang Ubon Ratchathani,1.3301366742652594,1.0016532074095594,1.2606063785307842,0.9833783982259202,1.5040646793328896,1.565045380484233,1.2342860610872162,0.9812521974639442,1.2965812126718286
00000000000000000250,Si Mueang Mai,1.003079792994753,1.0874596115177035,1.3602976116163066,,1.6777164653856105,1.574056142258891,1.1688099833693084,0.9690389196703895,1.264223259005199
00000000000000000251,Khong Chiam,1.1096153060714322,1.3308439592942007,1.6608763653441057,,1.7152877347653113,1.5616354600057523,1.2595506744147706,1.0220703556634678,1.3448376442931083
00000000000000000252,Khueang Nai,1.1699668252370083,1.0861583540062434,1.021245311223426,1.6261575966345732,1.473960536282381,1.4890577129698233,1.229671263765427,0.8682868543445246,1.201975824381134
00000000000000000253,Khemarat,1.2689953198313815,1.4637938279797624,1.4071608249012093,2.2811484998946137,1.6933453962363418,1.6599912265229348,1.2835923467674848,0.9447934682605943,1.3725956257479288
00000000000000000254,Det Udom,1.0314065984360405,2.4303246529644715,1.3761412945160936,1.3629694912531467,1.6985767079046235,1.6075508520884647,1.0280390567098374,0.9201989369426566,1.244349911451363
00000000000000000255,Na Chaluai,1.6009274521219712,,1.5977428425742028,,1.8182761980827185,1.649959411713125,1.1857093194032449,0.9737839026792136,1.4358819142639514
00000000000000000256,Nam Yuen,1.899192922718339,,1.7114560366107805,,2.0044565964093763,1.8627574800337465,1.5092056582882163,1.1065832244841038,1.665125283705821
00000000000000000257,Buntharik,0.8968059090510018,,1.3229597655236813,,1.6207537910407777,1.4962810551663692,0.9969548269186111,0.8756113745425212,1.1693751279390565
00000000000000000258,Trakan Phuet Phon,1.2303896913176475,0.9241465652769769,1.2996222714793813,2.3534017076768246,1.6912527381451758,1.681805505719562,1.23144702638203,0.9486727484054701,1.3384755335572216
00000000000000000259,Kut Khaopun,1.50278719056811,1.0738409162250717,1.3764874460164687,1.4247189454160893,1.6953287602715543,1.7343136621699744,1.2516665521520884,0.9008814821770263,1.3990035056389436
0000000000000000025a,Muang Sam Sip,1.6015313704638714,1.0518896624425327,1.2719553135239812,3.412435753066155,1.5827429477898636,1.5565882146847603,1.2124278972055123,0.8933318739837282,1.4580253861387804
0000000000000000025b,Warin Chamrap,1.361560783522892,1.3192132241313135,1.2726615656723361,1.4531933550068736,1.597416614334386,1.6267155914964142,1.1556378398527316,0.9328157910087643,1.3198421785065895
0000000000000000025c,Phibun Mangsahan,0.8367908934765464,1.0253549156400277,1.3931813866719838,,1.6901457208916748,1.4895671134908992,0.8950974045602141,0.8514052791525089,1.1369581745087092
0000000000000000025d,Tan Sum,0.9258806581935249,1.0428750848975512,1.3127039115408379,,1.7432788658849108,1.525329471607865,1.109487066289651,0.9343695935905401,1.1949262742396312
0000000000000000025e,Pho Sai,1.1457277775692045,1.179592033468144,1.375268428110958,,1.7638691140563691,1.745402372118268,1.3733656537232224,1.0230681652746152,1.3995697230064057
0000000000000000025f,Samrong,1.699535287224767,1.1556758631320674,1.3298858830542102,1.3986122951027087,1.715793990473037,1.683368773195471,1.1453173031655628,0.9281918857666005,1.4232240996809045
00000000000000000260,Don Mot Daeng,1.182889800033063,1.053776286278424,1.2202973836998674,1.7840684224575776,1.506373911848263,1.5290603363587645,1.1474808634726743,0.9237674673895057,1.2225912449619138
00000000000000000261,Sirindhorn,1.1754332059310988,,1.5709231046746057,,1.7437684761117644,1.6001709749335944,1.2694031957399066,1.053418915118198,1.3782091407660408
00000000000000000262,Thung Si Udom,1.3979609353327433,2.4466569780423293,1.62135699476673,1.8885955726669803,1.909148127395878,1.8116648301106135,1.2606209632777061,0.9545253891254376,1.4718405065406606
00000000000000000263,Na Yia,0.8633852161203903,,1.4259171109633344,,1.731392375865181,1.5751799635088244,1.060638071737979,0.9377091739092548,1.193267066540379
00000000000000000264,Na Tan,0.9206562315062772,1.1161829297259662,1.070235606491575,,1.6023878027847607,1.6260730006094413,1.1926050216012878,0.8324928688520531,1.2140339159105238
00000000000000000265,Lao Suea Kok,1.546030473103695,1.0744541572361372,1.2839634795154327,2.1013657998225255,1.5859599317876685,1.6110570973400744,1.2477706500907304,0.9857520463388415,1.3703653914974718
00000000000000000266,Sawang Wirawong,1.2495795250256583,,1.4496136994968132,,1.680815605957617,1.7119000228296108,1.2729056440620907,1.1493938618007506,1.3741159788158748
00000000000000000267,Nam Khun,1.6526531025126268,2.33079766401884,1.7454047271044302,,2.1110917906159363,1.920347322094248,1.475167146686017,1.110771814873976,1.6353717368313399
