system:index,admin2Name,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
00000000000000000128,Su-Ngai Kolok,5.216060537814333,4.9536087405234515,5.125199067102505,5.240798925821112,5.189113143720761,,3.794261190430155,3.7388114250002755,4.836525472640917
00000000000000000129,Su-Ngai Padi,4.879814044650626,4.7067087914827175,5.172798066753422,4.996467594635607,5.605008362832522,,4.187326652247465,4.094373901776976,4.965274914255138
0000000000000000012a,Chanae,5.623378275009348,5.67473445880338,5.817761744207462,5.780885804875931,5.41173643131259,,5.75059579682175,6.845597238170303,5.779041070115398
0000000000000000012b,Cho-Airong,4.753425106905708,4.884461708176814,5.095802760036223,5.276734957500601,5.092931562446398,,4.326693170402502,4.333062643938855,4.859037928107492
0000000000000000016a,Mueang Pathum Thani,1.913337028329687,2.5053339274944473,2.761620075200357,2.3750190402342053,3.0170030863049138,3.273399379108364,3.409909756410568,3.7521886556616737,2.9668809044784394
0000000000000000016b,Khlong Luang,1.5690349470810359,2.694712397240923,,2.2990578975835945,3.771666998585364,3.565327915776444,4.1263352131142375,4.389242416014397,3.3639186311481897
0000000000000000016c,Thanyaburi,2.0439854610346946,4.266306982782556,,2.181956875655836,3.5760232844006277,3.7002791591975868,3.932496239067017,4.168324871291808,3.598925532336376
0000000000000000016d,Nong Suea,2.1984976543886288,2.557074281882194,3.126337654103525,2.8036695001276346,3.87420968946353,3.4770123905681105,3.9819076056167977,4.6346664585636494,3.470710863977866
0000000000000000016e,Lat Lum Kaeo,1.8137899634850991,3.0555962418404823,3.6373243742121253,,3.3030854404876,3.529632955721114,4.040317285163207,5.029677439924265,3.486890892186862
0000000000000000016f,Lam Luk Ka,1.429913587132059,2.4029501558067614,,2.760566804063387,3.163855765697949,2.646611419677789,3.4012865523307525,4.53562657391351,2.991989007765862
00000000000000000170,Sam Khok,2.567654952944488,3.4280514338019326,2.961370230947252,2.9026251781357395,2.8845936528559415,3.7482755733421524,3.5133827404021085,4.397201158269305,3.3957521348107687
000000000000000001c1,Mueang Chanthaburi,2.8994969286232504,4.033760747397959,4.9952503494221645,4.870498358185046,4.799276577986469,4.572933418533842,5.6401803364270275,4.9998322329233265,4.661262140003782
000000000000000001c2,Khlung,4.038602392031643,4.34300269157885,5.332948190797115,4.835785431120862,4.414060910958043,4.371189614652744,5.38984589928648,5.094317885894153,4.773801894926299
