system:index,admin2Name,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7
00000000000000000289,Phon Charoen,0.07169103034216576,0.9621405611389028,1.5465899598689665,1.078279826516478,0.14117332513953496,1.0242461161580243,1.2988200359109394,1.4294015456938092
0000000000000000028a,So Phisai,0.062265541968943634,0.8219797850607773,1.399717245276977,0.9440785049357548,0.10321574840642149,0.8837930027255775,1.0039978366785725,1.085147710810693
0000000000000000028b,Seka,0.13477771177706627,1.0836671735447119,1.6746417129813336,1.2105700753925388,0.3670919191236421,1.1397620033784122,1.5299067287280874,1.6245403666577567
0000000000000000028c,Pak Khat,0.12855736716047464,0.7389810126207806,1.1581252495870578,0.7978627022484343,0.09820543237044602,0.6411114350478083,0.7082805824359893,0.7501520655684539
0000000000000000028d,Bueng Khong Long,0.14279047137225628,0.8847581733134182,1.2764785816709254,0.9708434843813477,0.38687926317202126,1.0630022969114643,1.4516159023418085,1.5367149102079316
0000000000000000028e,Si Wilai,0.06384178831787111,0.8979097866792283,1.4003346345983347,1.014301656759082,0.23581717079358755,1.0310703104707581,1.423618764481263,1.5386703876233292
0000000000000000028f,Bung Khla,0.06486604221385386,0.7807448124833348,1.1436992202457086,0.8963552058183523,0.27486386041715827,0.9871203670039732,1.4059715590826365,1.5117400231576963
0000000000000000030e,Mueang Sakon Nakhon,0.6502728316401158,1.9001135720099165,2.504226669565804,2.2390882629375244,0.7367050990637553,1.7016014392090844,1.9314369702866419,2.1583122897997926
0000000000000000030f,Kusuman,0.39991276200260856,1.4277047164654544,2.025564114463778,1.633211192660615,0.6475298233250912,1.4606906124971808,1.6963717902661617,1.7837058398590817
00000000000000000310,Kut Bak,0.8167523676391137,2.0785919555948085,2.610813174413367,2.452273706153815,0.8007132279208957,1.7641030303837715,2.0161292363258125,2.241378951938972
00000000000000000311,Phanna Nikhom,0.6519608331130414,1.8794318048727958,2.499791598510847,2.133237065676445,0.7151254975929919,1.6257647140197924,1.808462598584391,1.9924672908154102
00000000000000000312,Phang Khon,0.6450926906700543,1.8410246850209189,2.4724839512702794,2.039391308059122,0.6801264982218544,1.651081724056486,1.8349691296829966,1.9981051991403596
00000000000000000313,Waritchaphum,0.7834141024603979,1.9632639495125144,2.5128528993996815,2.2186478310906628,0.7347941315732913,1.7428753629369418,1.9981495918287215,2.1708694398169106
00000000000000000314,Nikhom Nam Un,0.8750898513599049,2.0995341213454592,2.598864385766396,2.4525835521621295,0.8110116665960326,1.78039467193599,2.068081302114253,2.276185716535415
