system:index,admin2Name,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7
0000000000000000005f,Wat Phleng,35.99424778761062,31.906194690265483,29.444247787610617,27.110176991150446,83.63628318584071,282.06681415929205,234.4982300884956,172.6190265486726
00000000000000000060,Ban Kha,52.64960933732036,57.59153081894474,58.605073791839494,60.21675508826083,146.23609530240182,295.6459342143341,251.50083920131198,194.4920131185493
0000000000000000010b,Mueang Pattani,39.94399633363887,97.34454628780935,123.62208982584787,112.39138405132906,123.62190650779104,204.24307974335477,221.63794683776356,221.63794683776356
0000000000000000010c,Khok Pho,54.29835837506956,135.572509738453,192.58241513633837,185.28606010016688,216.9710072342794,237.79387868670008,237.79387868670008,237.79387868670008
0000000000000000010d,Nong Chik,44.08610051993069,110.2650606585789,149.8682495667245,139.60114384748704,166.92402079722712,227.3440554592721,229.33819757365686,229.33819757365686
0000000000000000010e,Panare,45.04174528301887,94.72918632075474,91.41456367924528,72.36179245283019,73.30678066037736,136.16267688679244,205.55843160377358,205.55843160377358
0000000000000000010f,Mayo,49.393064784053166,115.7200166112957,138.58683554817276,126.01627906976746,146.89530730897013,200.12184385382062,211.9765365448505,211.9765365448505
00000000000000000110,Thung Yang Daeng,54.39481101857783,132.63875720691863,155.81511851377323,142.02472773862905,167.23850096092252,203.0914798206278,206.04452274183217,206.04452274183217
00000000000000000111,Sai Buri,49.707260447446174,110.03427606585056,109.10764035458,89.59307724778385,99.83452933727311,157.1177712114816,199.63697762769098,199.63697762769098
00000000000000000112,Mai Kaen,50.57891816920944,112.3388349514563,111.62857142857142,93.51775312066574,111.8378640776699,162.4771151178918,193.47156726768378,193.47156726768378
00000000000000000113,Yaring,41.613477924089864,89.33698683191326,93.50108443067393,78.42656855151048,80.27757552285051,152.3365220759102,213.6767234701782,213.6767234701782
00000000000000000114,Yarang,48.74696680656237,115.47157573445246,157.80404425791684,151.31743609309422,175.502327355971,213.9482640213659,219.839297977871,219.839297977871
00000000000000000115,Kapho,55.399814814814825,129.43925925925927,137.35833333333335,119.95305555555557,140.90805555555556,188.99453703703708,198.185462962963,198.185462962963
00000000000000000116,Mae Lan,51.66235541535226,126.46414300736069,188.95552050473188,188.14773922187172,221.51829652996847,228.58349106203997,228.58349106203997,228.58349106203997
00000000000000000164,Mueang Nonthaburi,37.18263736263736,34.3889010989011,40.65659340659341,51.135604395604396,160.2767032967033,272.7805494505495,221.0108791208791,158.30879120879123
00000000000000000165,Bang Kruai,39.60694864048338,36.57870090634441,46.17764350453172,64.55528700906345,171.31193353474322,283.03595166163143,231.3960725075529,168.59123867069488
00000000000000000166,Bang Yai,41.900000000000006,37.84060606060606,39.14311688311688,50.3587012987013,146.14199134199134,294.418961038961,243.31523809523813,180.9716017316018
00000000000000000167,Bang Bua Thong,40.90824175824176,36.948695054945055,36.691758241758244,42.99697802197802,137.70418956043957,287.01002747252744,236.30831043956044,175.04965659340658
00000000000000000168,Sai Noi,43.6792345276873,38.18477198697068,36.34714983713354,37.176995114006516,121.59535830618894,261.85846905537466,215.29291530944627,161.37288273615636
00000000000000000169,Pak Kret,37.27982832618025,34.41648068669528,34.96454935622318,39.87527896995709,144.42188841201718,274.49579399141635,221.62343347639487,159.58085836909873
00000000000000000181,Mueang Ang Thong,27.71732673267328,24.92263083451202,22.63840169731259,21.24837340876945,120.38246110325318,259.37602545968883,203.28606789250355,143.54596888260255
00000000000000000182,Chaiyo,26.47485648679679,23.759816303099885,21.595522388059702,20.788633754305398,140.85028702640645,245.00551090700347,189.54776119402985,130.78679678530426
00000000000000000183,Pa Mok,28.63134171907757,25.729454926624737,23.34559748427673,21.654297693920338,110.20555555555558,256.7559748427673,201.7254716981132,142.75377358490564
00000000000000000184,Pho Thong,28.27719656722517,25.454066203514508,23.154270535349404,21.466326113608496,137.16309767061708,268.84666939109104,213.43326522272164,153.65529219452387
00000000000000000185,Sawaeng Ha,28.310147213459523,25.514879074658264,23.222555205047325,21.346004206098847,148.79053627760257,271.85515247108316,215.95094637223977,155.84773922187176
00000000000000000186,Wiset Chai Chan,30.85034199726403,27.74630642954857,25.213508891928875,23.123563611491115,113.22886456908347,259.9813953488373,208.79145006839948,153.17759917920662
