system:index,admin2Name,NDVI,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDWI,NDWI_1,NDWI_2,NDWI_3,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDVI_p75,NDWI_p75
0000000000000000018f,Sa Bot,0.4161891148193872,0.4650536027307636,,,,0.748055018955536,,0.5257262139571217,0.23058598715997344,0.3188100677799211,,,,0.6440080119669597,,0.4272923338040177,0.5405310959909417,0.4068558935564322
00000000000000000190,Khok Charoen,0.4185151526297061,0.49853345778801694,,,,0.7372931303878113,,0.595884478540579,0.21446307302211445,0.3439679161052383,,,,0.6209361835927358,,0.4726747133877042,0.5603445603524976,0.408413920478844
00000000000000000191,Lam Sonthi,0.38794852528694884,0.49237731012046176,,,,0.7162082586936751,,0.5708372906798442,0.17995890426602332,0.34900747742841604,,,,0.5939313938193197,,0.4792513469682563,0.5628138291311884,0.4236435758606878
00000000000000000192,Nong Muang,0.36522517237861585,0.4513019306800409,,,,0.6942996811967318,,0.6349025092313761,0.12198468769273237,0.24064216158431168,,,,0.5794656291112572,,0.5454718552819485,0.5281976545296372,0.3576111868791304
00000000000000000199,Mueang Chai Nat,0.5269486381155127,0.679445215867329,0.6065175842371461,0.4502232896975089,0.5100014644300985,0.5956626270825915,0.5082307884719954,0.5543628203352331,0.5429179191699409,0.6139196172106668,0.5454390098331573,0.5206637364242539,0.5647925180831791,0.6058087033234014,0.5185768122051069,0.5526863268229016,0.5500094071400397,0.5581648054788445
0000000000000000019a,Manorom,0.4530958306911967,0.6648335913213258,0.6106874807102929,0.42802292503545797,0.5244576793552891,0.640867406618581,0.5811748680109116,0.5115060769352267,0.433073273878719,0.5572854684034023,0.5255920738492385,0.42107961262807225,0.5539738555067404,0.5955120608332413,0.5073204842908998,0.4774221528501866,0.5444784107980082,0.5050505387922704
0000000000000000019b,Wat Sing,0.4113385966569692,0.4856376339136793,0.4933339428638957,0.5452617975300699,0.6565881919179091,0.4733338000569185,0.5432304875248049,0.508990838520661,0.3094676768649096,0.4834275653746808,0.42802468394776927,0.562190055097721,0.595973787387597,0.5718041254963242,0.48172008866055305,0.4290411892249799,0.5141819141740964,0.4738513976947457
0000000000000000019c,Sapphaya,0.6010372303840515,0.7004490529297012,0.5575618803817463,0.37235161938259664,0.48112384987798673,0.4956761841382116,0.3682620202221524,0.519061621858783,0.5685530360405989,0.6183738303066698,0.5239882121993891,0.4265248589696,0.5749755095502327,0.6188107817175778,0.4972507111274058,0.5247334342782626,0.5195903969597565,0.5549316116178192
0000000000000000019d,Sankhaburi,0.6611298529517023,0.7427817568944046,0.46929826414872633,0.39059830071312734,0.5657044391270999,0.5696999271619877,0.42125200701633947,0.5644760826298059,0.5799090464484292,0.6503988455428854,0.43303046648697946,0.4970842753847306,0.5915416672062608,0.636368555076247,0.4887169173248227,0.5431250647695464,0.5615402819760172,0.5651838458016608
0000000000000000019e,Hankha,0.4498081335915226,0.616550139241426,0.5699126709613238,0.546344419295569,0.5910844316749841,0.33087252108316284,0.4964277708608773,0.5683529573956151,0.3523035589070436,0.5554901158860199,0.43304208803534416,0.5261619201444978,0.5414707354269711,0.5620796929049866,0.4875843277962661,0.458925788819115,0.4989022736240641,0.4837312581307853
0000000000000000019f,Nong Mamong,0.44406317059268724,0.39549601723120026,0.6029439329338586,0.6518689774916763,0.6590825855476844,0.5079276687500577,0.6000696391193322,0.5681880118636403,0.29423966053366496,0.4079109999844494,0.5066473270626369,0.5810204168122165,0.5801299787521405,0.5813210546228351,0.5146337981399193,0.4398330270138206,0.5729741577803037,0.49201345750532377
