admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Khuan Don,TH9102,2016,1.0144001875370028,4.1128145298103505,5.045306764765195,4.705270060492563,,5.2329251551823495,4.83294568738342,5.575381195954734,4.9699554646745625
Khuan Kalong,TH9103,2016,3.395737925232263,4.681750525387431,6.155709703935328,6.2750784780871225,5.797858796448429,4.217206415112055,5.060659514596292,5.908782536882665,5.623819036832936
Tha Phae,TH9104,2016,1.4602115150173207,4.313588813665177,5.936042830753067,5.624541054305159,5.550571401133828,5.480330295054235,4.855962438007892,5.800259500805318,5.396664146753137
La-Ngu,TH9105,2016,2.485027057682371,3.7862328434661294,5.0320806127582385,5.241366177741216,5.10991692960263,4.640665534155952,4.448531532055798,5.380167243131247,4.771346722826965
Thung Wa,TH9106,2016,2.3789675489528554,4.14650080835142,5.245520905983455,5.328827872968182,4.738606622559193,4.958491712132177,4.246747641837985,5.6988436305734345,4.88718293743594
Manang,TH9107,2016,,5.332994408160742,6.440055477111084,6.814324135261516,6.170589974908821,5.084237090372053,5.363751597342089,6.618732100194127,6.117943002320917
Mueang Trang,TH9201,2016,2.470581676170962,4.438561667899956,5.794154813922109,6.198352871893103,5.167909523997835,4.294412116677133,4.889280546176804,3.597620741701158,4.941253136244009
Kantang,TH9202,2016,2.885312797318015,4.241300271199743,5.8899997173437955,5.0840197947707635,5.3047110093080105,5.262748690279996,3.7731031676684026,5.340602592627206,5.193589460852046
Yan Ta Khao,TH9203,2016,2.9149843807364215,4.832199640939173,6.387866462728791,5.412910764597127,5.891608056531286,5.189611870464509,1.6290521652193581,5.945959343277891,5.682013728715941
Palian,TH9204,2016,3.3949515476297716,4.362933901505412,6.13015218125611,5.187235396811967,5.497189263285713,4.987662998002865,3.4599945136887666,4.888164692357618,5.212746109641161
Sikao,TH9205,2016,3.2367227164358043,5.234867045128023,6.659058557097943,4.563180621568854,5.802881334648549,4.698778074815467,4.6315602624467065,4.94542885970523,5.413121544224693
Huai Yot,TH9206,2016,3.9603887917414964,4.95858736824617,6.561392164989419,4.93068593576751,5.720108644772538,5.270386013706797,4.816859044471377,5.080986799212235,5.322775351559095
Wang Wiset,TH9207,2016,3.9269565929522146,5.187555591662751,6.477636327360325,5.282432518189355,5.621503339040831,5.143349468570938,6.19272821950914,4.904070972183215,5.586305342600353
Na Yong,TH9208,2016,2.8358252670179103,4.296864218451838,5.742689822116438,5.082073988356827,5.602647829889694,2.5523302116084188,4.191842963623137,4.696901555232966,5.151278640003925
Ratsada,TH9209,2016,3.6125668960625585,4.7121398737463185,7.031203963994225,5.015867247616043,4.909752815545563,6.2965386004479384,5.193623196985363,4.6388556380282955,5.296477317861259
