admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Wat Bot,TH6507,2014,216.50643971708956,172.0172375601511,201.1262265687044,230.31512845797445,286.84241168266976,150.30814308250328,34.34316504562944,0.7017893279351379,1292.1605414426572
Wang Thong,TH6508,2014,207.00852778133697,149.45731568687168,185.5480777078044,254.03442588398656,289.5118656573126,131.69839789845923,66.52814517939082,4.37465122303206,1288.1614070181943
Noen Maprang,TH6509,2014,187.75678577468955,125.25957488929778,180.47483116574278,269.24918969997964,282.6120455109007,121.55362655460456,94.80584297251762,2.2803241568441655,1263.9922207245768
Mueang Phetchaburi,TH7601,2014,72.36868803901523,84.19973843481857,112.89375932423006,124.69941846151097,132.9024258120656,278.6445434467262,163.97103532423583,39.37093128246915,1009.0505401250715
Khao Yoi,TH7602,2014,99.03699009933185,89.74712302205965,160.62957137213758,141.46020551796832,139.72756430727867,250.16888194561744,140.52144478996863,30.224361276156426,1051.5161423305185
Nong Ya Plong,TH7603,2014,105.24069148054554,96.43307929468712,195.8400994681837,135.66666432967617,168.87800474459948,232.965180336835,119.18467439270496,29.757554831150365,1083.965948878382
Cha-Am,TH7604,2014,61.10878589340779,55.68234951775959,88.45832230087738,91.85205966374126,114.66004900641286,259.3257861338871,162.1038832214517,28.550433376137644,861.7416691136754
Tha Yang,TH7605,2014,70.3180931835636,63.12288439109449,107.80460714070131,108.59627678865552,132.70528434684255,273.25438409581005,154.43693515947575,29.58934246961016,939.8278075757534
Ban Lat,TH7606,2014,75.54851975626758,93.58310127900793,154.258806134354,135.30543275901246,145.09995582970703,262.66681677846157,153.78652600344125,32.54005334702404,1052.7892118872758
Ban Laem,TH7607,2014,78.96927599597211,92.49677275910096,109.5647027015686,129.50525812378118,138.90238224805572,301.43461282393514,167.10263249967613,35.476577633969924,1053.4522147860598
Kaeng Krachan,TH7608,2014,93.09686106978438,81.7551515810133,172.832845183808,128.29572380884426,161.49495504747227,249.68432603445572,130.61332019145095,26.318710802859208,1044.091893719688
Mueang Narathiwat,TH9601,2014,172.06118297576904,132.28594779968262,191.57684874534607,166.2842299938202,248.51308822631836,226.92761969566345,729.0049934387207,850.1488523483276,2716.802763223648
Tak Bai,TH9602,2014,156.50252426791394,135.37689606960004,160.82862657359524,148.99247718264914,210.39955911473334,179.8491492230668,776.3915808914054,887.4509734129294,2655.7917867358933
Bacho,TH9603,2014,173.84720945358276,116.69560813903809,128.23692631721497,155.28335905075073,205.7783670425415,248.3247742652893,699.9436416625977,841.539981842041,2569.649867773056
Yi-Ngo,TH9604,2014,248.6134729385376,157.39969611167908,176.68968152999878,175.71165084838867,299.50854778289795,296.1678218841553,748.0114283561707,944.4893665313721,3046.5916659832
Ra-Ngae,TH9605,2014,,,,,,,,,
Rueso,TH9606,2014,,,,,,,,,
Si Sakhon,TH9607,2014,,,,,,,,,
Waeng,TH9608,2014,,,,,,,,,
Sukhirin,TH9609,2014,,,,,,,,,
