admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Pa Daet,TH5706,2017,0.9189782047428098,0.9900275181659915,,1.3998122104866924,1.630586325166756,1.7527809842169735,1.5741433585137086,0.9235977559503583,1.2793527712435353
Mae Chan,TH5707,2017,1.2890474686298816,1.1129230521300149,1.0599463331737746,1.385155770751344,1.6256878170421925,1.843321312804146,1.672559563398415,1.060822960257642,1.3739005937632638
Chiang Saen,TH5708,2017,1.0444009526216305,1.293332166189743,1.2745877914755355,1.5253087269381058,1.5499860283020739,1.5898790332569739,1.662821242440006,1.1969701950645157,1.3758886562533705
Mae Sai,TH5709,2017,1.289585126303117,1.0009715917182205,0.6146870337669429,0.9152801452408739,1.4496514278024892,1.6272517357440213,1.5385242600347764,0.8597183238576198,1.214683321502133
Mae Suai,TH5710,2017,1.4478125779032174,1.5303123526653952,1.356224141610521,1.6120835879387272,2.0211812225307715,1.8881968814086405,1.7192837065218904,1.2965741087815332,1.622179374636
Wiang Pa Pao,TH5711,2017,1.193273786390022,1.3705232203022328,1.4868232953478298,1.8012158060122518,1.8657445428752544,1.7699219275253109,1.6332826617706058,1.1836340980016873,1.5180887148711342
Phaya Mengrai,TH5712,2017,0.8334515486148871,1.0410680699166,1.1268856118168198,1.7380131606616305,1.762312945670334,1.6316327837116604,1.6270774111416766,1.0281397098519478,1.3469326517721567
Wiang Kaen,TH5713,2017,1.1137484129224424,1.4445691461384074,1.4878091190476088,1.7968460328645264,1.8368600837030902,1.6845820925621,1.7179267402867366,1.4029864818027815,1.5510382335711037
Khun Tan,TH5714,2017,0.8877760877869413,0.9232494719027868,0.9921797491568172,2.1460598417937917,1.6386044976733871,1.67453585970472,1.5520285091075103,0.9177914184349228,1.3356599996534786
Mae Fa Luang,TH5715,2017,1.3815335086762022,1.5415239746055776,1.6399923050317342,1.8872763527554197,2.0129350843482543,2.0229202892700973,1.876991123674106,1.542121948578117,1.7222329063377066
Mae Lao,TH5716,2017,1.3066280761553377,1.2654922525783856,1.187012972467788,1.6567135222126566,1.9775098348883569,1.8997743902133482,1.6268448790527978,1.162889928872945,1.523946310625042
Wiang Chiang Rung,TH5717,2017,0.9507187900780952,1.047751930905146,1.1411635308373758,1.5840534645275097,1.5390898217344966,1.716204098742886,1.6823410133754362,1.0394587458907931,1.282499663008721
Doi Luang,TH5718,2017,1.1350173006515325,1.34868323248971,1.1001180726798736,1.4492838708957585,1.529560861257256,1.6314427695390155,1.5968655004895427,1.16001224517322,1.3587036283636111
Mueang Nakhon Sawan,TH6001,2017,0.9714395280787876,1.2122765031276295,,1.4712962067236655,1.37593275197533,1.0464257592671324,1.0917763220990595,1.1364153199126583,1.1892465682474969
Krok Phra,TH6002,2017,0.9542381634039894,0.9859107057899229,,1.4752206306642563,1.216958386182305,0.7839559365361928,0.6592081107467235,0.992859982520245,1.0435274598806046
Chum Saeng,TH6003,2017,0.8195671026770189,1.281626762129941,,0.8376252419136406,0.5096151784402833,0.4100811371975217,0.23676296133782412,0.43067502384142686,0.6414105715229601
Nong Bua,TH6004,2017,0.5610698903354306,1.004175068770803,,1.3826129201167416,1.3100671570289681,1.8036961878645594,1.0340790227332204,0.8862484673448391,1.0861933760405627
Banphot Phisai,TH6005,2017,0.9313792516925697,1.240224015294995,,1.4610643901042328,2.2934444677284067,1.0788758172980146,1.259108635866116,1.212776391632321,1.354714187150269
Kao Liao,TH6006,2017,0.8635898289506494,1.2481753726712645,,1.340046740844235,1.0201216623457174,0.7848857582492491,0.904510885246669,0.9824141109527268,1.0168948075387263
Takhli,TH6007,2017,0.8957004452741617,1.2800416522882345,1.5233639755458537,1.6930809390004775,1.5439221327643955,1.545537766583579,1.4745988138805557,1.29931727304666,1.3384652993243555
Tha Tako,TH6008,2017,0.6642710012667222,0.9699950874788824,,0.9880552385341251,0.6180833485861149,1.0512046481562913,0.8081911906257245,0.8682982492806766,0.8768317949863829
Phaisali,TH6009,2017,0.5864086365413385,1.0605328160764114,,1.6281764577933722,1.5641744431791733,1.7231284755022815,1.216741944604102,0.9807928131748117,1.1434696672611362
Phayuha Khiri,TH6010,2017,0.9413479846901354,1.380034958377854,0.6720885267758968,1.6918070263258445,1.7897369951245818,1.4054353415155163,1.470862744214632,1.3946986502335685,1.4354046910761535
Lat Yao,TH6011,2017,0.9820490113585253,1.3418996894231918,,1.5973161075569762,1.488740076826368,1.2452476960264447,1.4217340024060203,1.3109426383425906,1.3345297420244782
Tak Fa,TH6012,2017,0.7647093562072218,1.4446847121019541,1.9801558116823703,1.9315943421439983,1.4556584638086438,1.746529927750728,1.7966509162167297,1.517138835624844,1.453902221958385
Mae Wong,TH6013,2017,1.2411211904507038,1.6065275940467807,,1.5515326641643823,1.934604255725396,1.7235412031808346,1.5779077202627403,1.2681619657716867,1.5568781582813596
Mae Poen,TH6014,2017,1.3413388006130236,1.8639376254760343,,1.7229276727587217,1.941208510290543,1.9959285971921323,1.7393713483025748,1.4153406609468153,1.7173747433561997
Chum Ta Bong,TH6015,2017,1.141897503282145,1.4910372429381153,,1.5452335301196933,1.7081154558008815,1.7042398680051056,1.6046405482409485,1.3423081322983517,1.5052980043739754
Mueang Uthai Thani,TH6101,2017,1.0118878491476768,1.374942264138319,1.8974583946182948,1.5821486016916864,1.3011299244308836,0.8815782707098078,0.8955477665160853,1.0354748031762977,1.1733583936335463
Thap Than,TH6102,2017,0.9905151941487399,1.1455463778120598,,1.6103947197980335,1.3689489528105778,1.1868361482514767,1.2597407623247492,1.290208795609455,1.268213940065938
Sawang Arom,TH6103,2017,0.972522573416698,1.1945178720446237,,1.4358178221253401,1.4938721070915386,1.3824381749777712,1.4306345014493025,1.2336056781538012,1.2957197031022007
Nong Chang,TH6104,2017,1.1772165131756336,1.393170676220353,,1.742275965052802,1.4417926750983971,1.2584887229583976,1.2924189798554901,1.3744084767079858,1.3865592480478883
Nong Khayang,TH6105,2017,1.1235272677369528,1.2756031993394819,,1.6773284485074282,1.4815412328128184,1.1673452407307863,1.2585230916533656,1.2565438774771511,1.3263073502444716
Ban Rai,TH6106,2017,1.3725314504618464,1.6005994112941124,,1.914160269773001,2.0233492100170962,1.9825626283806403,1.5971463179101575,1.5488701293035558,1.729924123403745
Lan Sak,TH6107,2017,1.3485388585790965,1.6962497234542881,,1.7637167963601736,1.7931201525160765,1.766043387497625,1.6346711444005992,1.3637105534017009,1.6224599837261664
Huai Khot,TH6108,2017,1.451626126097943,1.7269259991180512,,1.8969509630636592,1.9540767408147097,1.941830374883533,1.7099356199851592,1.5947609010218995,1.7548005186772493
Mueang Kamphaeng Phet,TH6201,2017,1.257310983328492,1.534021521519594,1.9622496328727894,1.871539804344596,1.6676247888997355,1.63306820399601,1.4897545074244531,1.3563854397039958,1.5484826145188904
Sai Ngam,TH6202,2017,1.1217301270341182,1.366965103558283,,1.8910069580223157,2.1548792377783554,1.3419248870592482,1.4195479390258912,1.2660899012832199,1.5127201699227577
Khlong Lan,TH6203,2017,1.380510191642718,1.6336498331276057,,1.8066613801877505,1.7980432217107556,1.7380479092831451,1.5865905675547756,1.3046661208627683,1.6024773153813656
Khanu Woralaksaburi,TH6204,2017,1.0185714664007026,1.3474961501588276,,1.637422955926951,2.1193496363650697,1.4644383713375146,1.3829522731745818,1.266025690060295,1.4626576756393157
Khlong Khlung,TH6205,2017,1.062353289319733,1.3776522037278756,,1.6963036037608024,2.0519030162340717,1.3250212656596203,1.375806400539834,1.2520927203233314,1.449426274372404
Phran Kratai,TH6206,2017,1.0965280990285178,1.3803792739340186,1.7588680212380456,1.7575824764443722,1.5790196695447118,1.5328121034539932,1.2741478989113955,1.181485748642159,1.4027249035456715
Lan Krabue,TH6207,2017,1.0819623759427348,1.3989457632337603,,1.7885242427952288,1.7820381983952445,1.4342413002613748,1.3115284863266017,1.2148439622439549,1.4340627653236313
Sai Thong Watthana,TH6208,2017,1.242757708131701,1.4097801255175524,,1.8327321477251335,3.3444140910720543,1.40994107134102,1.432503281121918,1.369338536543574,1.720828567488958
Pang Sila Thong,TH6209,2017,1.2155298961874688,1.525358797569136,,1.7477293149725903,1.9116217293811744,1.5980659191335698,1.5305622718881033,1.34302245552608,1.5524442382266623
Bueng Samakkhi,TH6210,2017,1.1479210382523641,1.412943834417255,,1.6401716905088395,2.848583771257529,1.2287655777325124,1.3436711975767095,1.3733706546340911,1.5669132157953052
Kosamphi Nakhon,TH6211,2017,1.324196230031123,1.6040620388091114,2.1297274063597085,2.0558351808689075,1.9444778794819577,1.8404717462660194,1.4762600067503915,1.4234232682915693,1.6702624952867389
Mueang Phetchabun,TH6701,2017,0.8757987057885299,1.3356160541606612,,1.4237752992999513,1.3660343990889912,1.5894485458893817,1.243425427283354,1.0557699107130027,1.2474407167606685
Chon Daen,TH6702,2017,0.7215981814063583,1.4491613144865043,,1.687072658214716,1.3978844081205126,1.7831613912342021,1.3612742658726948,1.099121824106336,1.3284572058437336
Lom Sak,TH6703,2017,1.0289290607145523,1.317106273846869,,1.4310596550734087,1.4902652641780347,1.6243272822405126,1.0813391057372586,0.9439648346434414,1.225724105092203
