admin2Name,admin2Pcod,Year,SM,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,F_SM
Lam Sonthi,TH1610,2017,214.23307471264368,242.77497126436782,242.77330459770118,243.43617816091958,243.43617816091958,243.43617816091958,187.7321264367816,132.9499712643678,218.8464978448276
Nong Muang,TH1611,2017,157.2802120141343,186.78121629161242,198.9237864980473,227.15778315045566,227.15860145062302,227.15860145062302,170.41525013948296,118.07249395573739,189.11849311883952
Mueang Chai Nat,TH1801,2017,148.6956278419028,156.05068205666322,161.84491080797488,215.63966421825816,279.4902763203918,279.4902763203918,229.4643581671914,180.23361315145158,206.36367611052822
Manorom,TH1802,2017,156.70596361185986,181.36485849056604,196.27018194070087,260.02847035040446,276.65309973045834,276.65309973045834,225.28355795148255,176.45953504043132,218.67734585579518
Wat Sing,TH1803,2017,189.43147268408552,208.53441211401423,216.4911817102138,272.0389845605701,301.2497921615202,301.2497921615202,254.19079572446563,207.13301662707838,243.78993096793354
Sapphaya,TH1804,2017,121.78255428781745,119.4718807508281,120.31807140228192,163.92016930437984,252.4521531100478,252.4521531100478,200.19988958410008,148.6298122929702,172.40333548030915
Sankhaburi,TH1805,2017,134.6883379711612,128.71904882367826,125.85572982544905,160.57057930685562,265.63493549203145,265.98444219580074,216.4413356944094,164.94166455856316,182.8545092334936
Hankha,TH1806,2017,175.14578787878796,174.18063636363644,172.00436363636362,210.1575303030304,292.2585454545455,292.4300151515152,246.35486363636363,197.54319696969702,220.0093674242425
Nong Mamong,TH1807,2017,205.3379100850547,229.3257290400972,236.33803159173758,282.80130619684076,289.0260935601458,289.0260935601458,244.4677399756987,198.85042527339002,246.8966661603889
Noen Kham,TH1808,2017,188.9517430600388,187.73014848289222,185.35006455777926,218.7001936733377,285.37375726275025,285.37375726275025,242.43234344738542,194.0912846998064,223.50041155584253
Mueang Chon Buri,TH2001,2017,,,,,,,,,
Ban Bueng,TH2002,2017,274.7712686567163,274.7712686567163,274.6649253731342,274.7712686567163,274.7712686567163,274.7712686567163,241.42425373134333,184.9625329236172,259.36350691395967
Nong Yai,TH2003,2017,301.82373447946514,301.82373447946514,301.82373447946514,301.82373447946514,301.82373447946514,301.82373447946514,269.6933619866285,212.32153772683864,286.6196633237823
Bang Lamung,TH2004,2017,256.3813455657493,249.8556574923548,245.19399847094803,244.28211009174314,256.3813455657493,256.3813455657493,238.29613914373095,189.74201070336392,242.06424407492358
Phan Thong,TH2005,2017,263.2060200668896,263.2060200668896,263.2060200668896,263.2060200668896,263.2060200668896,263.2060200668896,219.73511705685624,158.7615384615385,244.71659698996658
Phanat Nikhom,TH2006,2017,257.90970029004194,257.90970029004194,257.90970029004194,257.90970029004194,257.90970029004194,257.90970029004194,217.11598453109897,159.48250080567195,240.50708588462786
Si Racha,TH2007,2017,261.8473282442749,260.8778625954199,257.1221374045802,261.293893129771,261.8473282442749,261.8473282442749,233.70610687022906,180.22213740458017,247.3455152671756
Ko Si Chang,TH2008,2017,,,,,,,,,
Sattahip,TH2009,2017,258.6853053435115,248.26908396946567,245.38797709923668,238.91297709923668,258.6853053435115,258.6853053435115,248.0148854961832,197.68148854961836,244.29029103053438
Bo Thong,TH2010,2017,285.5497521070898,285.5497521070898,285.5497521070898,285.5497521070898,285.5497521070898,285.5497521070898,250.45493306891424,192.75069410014873,269.56301747645017
Ko Chan,TH2011,2017,259.4546739130435,259.4546739130435,259.4546739130435,259.4546739130435,259.4546739130435,259.4546739130435,222.06358695652182,165.39271739130436,243.02304347826092
Mueang Bueng Kan,TH3801,2017,350.6476942251767,350.6476942251767,350.6476942251767,350.6476942251767,350.6476942251767,350.6476942251767,306.0501869547155,265.1939343581222,334.39128583298725
Phon Charoen,TH3802,2017,267.17392739273936,284.20105610561063,284.20105610561063,284.20105610561063,284.20105610561063,284.20105610561063,232.58957095709573,188.36673267326736,263.6419389438944
So Phisai,TH3803,2017,274.3170461733081,283.9018026565465,283.9018026565465,283.9018026565465,283.9018026565465,283.9018026565465,233.21432637571158,191.0752371916508,264.7644528779254
Seka,TH3804,2017,267.14064190407515,323.2795888928959,323.2795888928959,323.2795888928959,323.2795888928959,323.24359899026337,269.51099891813936,221.41125135232613,296.8031058420484
Pak Khat,TH3805,2017,327.36432926829264,329.20487804878053,329.20487804878053,329.20487804878053,329.20487804878053,329.20487804878053,280.5844512195122,238.9075457317073,311.6100895579268
Bueng Khong Long,TH3806,2017,318.0637122671805,345.3066152858062,345.3066152858062,345.3066152858062,345.3066152858062,345.3066152858062,294.84104046242777,246.30706486833657,323.2181117533719
Si Wilai,TH3807,2017,329.58962264150944,330.73899371069183,330.73899371069183,330.73899371069183,330.73899371069183,330.73899371069183,282.99465408805037,238.72641509433961,313.1257075471698
Bung Khla,TH3808,2017,351.6833333333334,351.6833333333334,351.6833333333334,351.6833333333334,351.6833333333334,351.6833333333334,307.2246913580247,261.6660493827161,334.8738425925927
Mueang Sakon Nakhon,TH4701,2017,118.13832403651116,248.4520791075051,265.6554132860041,265.6554132860041,265.6554132860041,247.7122971602434,184.03213742393515,134.4123605476674,216.21417976673428
Kusuman,TH4702,2017,142.26748646209387,282.41653880866437,298.38731949458486,298.38731949458486,298.38731949458486,281.61310920577625,218.54636732851984,166.29180956678704,248.2871587319495
