admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Mueang Narathiwat,TH9601,2013,30.77008514404299,30.598923746744813,30.3794133504232,30.39971415201825,30.165119934082053,29.165842183431014,28.343146769205752,26.85630502139823,29.58481878766829,25.70539245605471,25.587731933593773,25.093140665690125,24.791936238606795,24.78368835449221,24.534516398112,24.187841796875023,24.053842611873876,24.842261306912317,27.935660256279863,27.83728656768801,27.462691073947504,27.28202788035077,27.09468972947864,26.37277033064103,25.959155591328965,25.364284601398566,26.913570753889168
Tak Bai,TH9602,2013,30.77008514404299,30.598923746744813,30.3794133504232,30.39971415201825,30.165119934082053,29.165842183431014,28.343146769205752,26.85630502139823,29.58481878766829,25.70539245605471,25.587731933593773,25.093140665690125,24.791936238606795,24.78368835449221,24.534516398112,24.187841796875023,24.053842611873876,24.842261306912317,27.935660256279863,27.83728656768801,27.462691073947504,27.28202788035077,27.09468972947864,26.37277033064103,25.959155591328965,25.364284601398566,26.913570753889168
Bacho,TH9603,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-Ngo,TH9604,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ra-Ngae,TH9605,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rueso,TH9606,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si Sakhon,TH9607,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waeng,TH9608,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukhirin,TH9609,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Su-Ngai Kolok,TH9610,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
