admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mae Charim,TH5502,2013,,,,,,,,,,,,,,,,,,
Ban Luang,TH5503,2013,125.60000000000001,121.85000000000001,106.5,113.70000000000002,109.45,99.20000000000002,65.80000000000001,55.650000000000006,99.71875,149.10000000000002,127.0,106.5,113.70000000000002,109.45,110.60000000000001,93.30000000000001,80.4,111.25625
Na Noi,TH5504,2013,130.0411214953271,126.90903426791279,109.46760124610593,116.37352024922119,107.4177570093458,100.22959501557634,63.679439252336444,54.84704049844237,101.12063862928349,155.64143302180685,126.90903426791279,109.46760124610593,116.37352024922119,107.4177570093458,114.74735202492214,94.92647975077882,82.80280373831778,113.5357476635514
Pua,TH5505,2013,133.88612716763006,131.81213872832373,110.84566473988441,116.34913294797688,112.01734104046244,98.81387283236995,64.05433526011561,56.505202312138735,103.03547687861271,151.25086705202315,131.81213872832373,110.84566473988441,116.34913294797688,112.01734104046244,115.71907514450868,92.89653179190752,78.05606936416186,113.61835260115608
Tha Wang Pha,TH5506,2013,132.35,131.05,110.0,116.05000000000001,112.15,99.9,64.0,56.55,102.75625,152.10000000000002,131.05,110.0,116.05000000000001,112.15,117.2,92.60000000000001,78.4,113.69375000000001
Wiang Sa,TH5507,2013,130.80742523203853,128.62695084221383,110.2607081471296,115.94365761430045,109.62138191818495,100.56858026813337,64.47005843932622,56.124750773461656,102.05293915434858,154.681471295978,128.6620144379512,110.2607081471296,115.94365761430045,109.62138191818495,115.50501890684085,94.52451014094191,81.74939841870058,113.86852011000344
Thung Chang,TH5508,2013,,,,,,,,,,,,,,,,,,
Chiang Klang,TH5509,2013,133.23509933774835,131.62185430463575,109.95827814569537,116.09735099337747,113.2364238410596,100.24172185430464,64.67152317880794,57.678145695364236,103.34254966887417,150.25298013245032,131.62185430463575,109.95827814569537,116.09735099337747,113.2364238410596,116.69867549668875,92.7,77.96092715231788,113.56581125827815
Na Muen,TH5510,2013,130.20000000000002,126.30000000000001,109.60000000000001,116.4,107.10000000000001,99.7,63.6,54.900000000000006,100.97500000000001,154.9,126.30000000000001,109.60000000000001,116.4,107.10000000000001,113.9,94.9,83.2,113.28750000000001
Santi Suk,TH5511,2013,135.20000000000002,128.6,107.9,114.60000000000001,109.7,98.4,63.300000000000004,55.400000000000006,101.6375,151.1,128.6,107.9,114.60000000000001,109.7,115.30000000000001,93.2,79.60000000000001,112.50000000000001
Bo Kluea,TH5512,2013,143.5,135.8,114.5,118.4,109.9,96.4,61.6,59.400000000000006,104.9375,147.6,135.8,114.5,118.4,109.9,108.60000000000001,91.0,79.5,113.1625
Song Khwae,TH5513,2013,,,,,,,,,,,,,,,,,,
Phu Phiang,TH5514,2013,132.71770334928232,129.8291866028708,111.4531100478469,116.2354066985646,110.77081339712919,100.65933014354067,64.82918660287082,56.2,102.83684210526316,155.07081339712917,129.8291866028708,111.4531100478469,116.2354066985646,110.77081339712919,116.08325358851675,94.81148325358852,81.03540669856459,114.41118421052632
Chaloem Phra Kiat,TH5515,2013,143.5,135.8,114.5,118.4,109.9,96.4,61.6,59.400000000000006,104.9375,147.6,135.8,114.5,118.4,109.9,108.60000000000001,91.0,79.5,113.1625
Mueang Phangnga,TH8201,2013,,,,,,,,,,,,,,,,,,
Ko Yao,TH8202,2013,,,,,,,,,,,,,,,,,,
Kapong,TH8203,2013,,,,,,,,,,,,,,,,,,
Takua Thung,TH8204,2013,,,,,,,,,,,,,,,,,,
Takua Pa,TH8205,2013,,,,,,,,,,,,,,,,,,
Khura Buri,TH8206,2013,,,,,,,,,,,,,,,,,,
Thap Put,TH8207,2013,,,,,,,,,,,,,,,,,,
Thai Mueang,TH8208,2013,,,,,,,,,,,,,,,,,,
Mueang Ranong,TH8501,2013,,,,,,,,,,,,,,,,,,
La-Un,TH8502,2013,,,,,,,,,,,,,,,,,,
Kapoe,TH8503,2013,,,,,,,,,,,,,,,,,,
Kra Buri,TH8504,2013,,,,,,,,,,,,,,,,,,
Suk Samran,TH8505,2013,,,,,,,,,,,,,,,,,,
Mueang Chumphon,TH8601,2013,129.3,109.10000000000001,99.0,116.7,110.7,113.2,103.9,76.9,107.35000000000001,129.3,109.10000000000001,99.0,116.7,110.7,113.2,103.9,118.5,112.55000000000001
Tha Sae,TH8602,2013,,,,,,,,,,,,,,,,,,
Pathio,TH8603,2013,,,,,,,,,,,,,,,,,,
Lang Suan,TH8604,2013,,,,,,,,,,,,,,,,,,
Lamae,TH8605,2013,,,,,,,,,,,,,,,,,,
