admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Si Chiang Mai,TH4307,2017,2.469057191116378,2.191867982849877,2.4178403191871802,3.8789982533218827,4.148048620647204,4.513877654678736,3.710507497519717,2.848858863245933,3.1911151799886888
Sangkhom,TH4308,2017,2.950342359837303,2.8769634499522647,2.7916758646942195,3.740264448758162,4.1489436805485855,5.345559114223909,4.3676908402074925,3.525095983909132,3.8660588152016317
Sakhrai,TH4314,2017,2.5465808688856817,2.008103812387679,,3.3738271632649957,,4.071613672302253,3.3252890777113766,2.6753652204773752,3.000750865057015
Fao Rai,TH4315,2017,2.6999646772478245,2.26344388922494,,3.447523714238069,3.2015963247455077,4.784398366258523,3.421543508699103,3.2292570892304227,3.3733278989007385
Rattanawapi,TH4316,2017,2.83928477592076,2.1545150784652782,,3.323005495994993,2.877729935268431,4.41771916453636,3.4431667324233994,3.0713035452806197,3.268909889260199
Pho Tak,TH4317,2017,2.5925565502413415,2.4690443203401222,2.052814043761084,4.19457254493246,4.005230007322544,4.855378190389065,3.7804235865795373,2.9937740238392547,3.284323922194748
Mueang Phitsanulok,TH6501,2017,1.9321225746956692,3.086752625020604,,3.4100703092363456,2.3471742120259447,2.2075829908581963,3.0469923371686107,2.429073158248883,2.6550431372140206
Nakhon Thai,TH6502,2017,2.143405414640043,2.86265979334698,,4.179237759020249,3.958558394319557,4.37648247659055,4.010205058122148,3.5545995084589324,3.5942600793931803
Chat Trakan,TH6503,2017,2.2740600571049168,3.5615474864571244,,5.166179957376294,4.29038460585514,4.347741356823045,4.134908226395885,3.3819155464757995,3.902437700347073
Bang Rakam,TH6504,2017,1.861765357404729,3.410263263921714,,3.568940251373319,2.1532927481471895,2.140497706593321,2.3735684281674967,2.3864025232916024,2.584673003215207
Bang Krathum,TH6505,2017,1.8197795903818887,3.205806529953602,,3.4280166274928163,2.6359106503648144,2.4293057416602326,2.8764932952727604,2.4698029678309728,2.7202950503174606
Phrom Phiram,TH6506,2017,1.6862432561494183,2.792701241169182,,3.5181339344157525,2.4594544058150447,2.28216117281599,2.8867865773600494,2.3068028449374287,2.583951051926931
Wat Bot,TH6507,2017,2.7112431554714123,3.6313005278606236,,4.936797839378963,4.208251664517196,3.725737308513466,3.78169012231212,3.1875376781528595,3.765475713489975
Wang Thong,TH6508,2017,2.221046971349581,2.7289537851554146,,4.151279921302876,3.8242990908018175,3.698859673892866,3.6227280808180407,3.1478371944400574,3.337388329439058
Noen Maprang,TH6509,2017,2.1198312947824647,2.627609971461506,,3.6039427705157703,3.1213123698773173,3.7225751500361604,3.6213296593238624,3.109324396482763,3.070954811423676
Mueang Phetchaburi,TH7601,2017,2.042866573738545,2.284195058010102,3.7007350827734293,,3.1851606273919564,2.8450158173476794,3.1388915292203925,2.527728950833974,2.676862111858406
Khao Yoi,TH7602,2017,2.6926901241418024,3.2890834973320753,2.8371465894027907,2.4810701901813967,4.079540923114853,3.7852369809314768,4.229839602153183,2.8969324751409244,3.35517639286185
Nong Ya Plong,TH7603,2017,3.3034954628544617,4.532936849106069,4.1580416484713565,4.056225741964865,4.803458473973855,3.7912036914180725,5.08051369061751,4.694234921152771,4.3444267119485955
Cha-Am,TH7604,2017,2.3473473778770653,3.1897966604896144,,3.4774668574725873,3.369166702426556,3.183937321373,3.672420558669404,3.729953240788433,3.2266631983458702
Tha Yang,TH7605,2017,2.764487276886641,3.8495546190003065,3.3528236780499867,3.0523381466962185,3.631163292897456,3.6513893216100626,4.2120836832354716,4.08246583217392,3.60915990185356
Ban Lat,TH7606,2017,2.1436489913231127,2.851374996456754,2.1845597637867864,1.7035851592223388,3.378837532310239,3.2978662555889007,3.9753894628062807,2.6809669823340165,2.963189648080514
Ban Laem,TH7607,2017,1.8393172977371268,2.1005229439704767,4.868234978788622,,2.859574381167633,2.4946087065345615,3.273243747719221,2.7871116223201766,2.610657202448956
Kaeng Krachan,TH7608,2017,3.262259501047081,4.772466859342042,3.529669216501363,3.6706363476770325,4.355020599972233,4.682086408133986,4.3612881728185195,4.8399849486934645,4.195477186702905
Mueang Narathiwat,TH9601,2017,4.958597169685709,4.627141084250975,4.898060557836648,4.983235112702524,5.10905077288138,5.164424616084986,4.447225562132714,3.794513125570844,4.93224918513533
Tak Bai,TH9602,2017,3.7918305569031743,4.261219206940368,3.9763934735504303,4.118661532012841,3.9857843606239647,3.9188527516977145,3.341845042540765,1.7263850717133893,3.8414145802723016
Bacho,TH9603,2017,5.003288018690855,2.0357455271987996,3.533460752325745,4.682443655710179,4.985110266468182,5.079516172327743,3.6775298790192803,1.4327643328820077,4.284039160836394
Yi-Ngo,TH9604,2017,4.857692443678155,5.024087662089564,3.2391800794606835,4.783016372499578,4.7724267313296895,4.920638254545849,4.272269028864256,1.4553233291416232,4.622764642532514
Ra-Ngae,TH9605,2017,5.812346627076481,6.490036298263468,4.999512368999817,5.5038931061394125,5.825728376173211,5.555615724119264,4.932777433691248,-0.2521171159593594,5.629763396182714
Rueso,TH9606,2017,5.1197800082741365,4.436898497463664,4.130639810074542,4.710182551912479,5.0033224901130735,4.865140227795384,4.523219654492741,2.2086783077100387,4.805689107039942
Si Sakhon,TH9607,2017,6.47692473686027,5.856275316869865,5.358852000416444,5.618321342622479,6.280625326322248,6.363516820194435,6.233765355234746,,6.089558721698834
Waeng,TH9608,2017,7.084805759138711,4.806145634426413,5.66656097176728,5.484174457969559,6.9416064057940465,6.294662329027335,4.722130107797882,2.703961536350132,5.850628300082665
Sukhirin,TH9609,2017,7.1081601954380575,5.461197356499122,5.684150937787251,5.639126394448996,6.974915197682396,6.477633474240836,5.564967145976268,2.816125690291029,6.126055188202304
Su-Ngai Kolok,TH9610,2017,4.938241686560369,5.906260359222299,5.152067648809568,5.344193016381969,4.961189621953107,5.0540689808017545,4.249080638493648,2.616317637684013,4.897950828076743
Su-Ngai Padi,TH9611,2017,5.766478910694665,5.817098130245969,4.9598260584403,5.204913367955776,5.226192367174109,5.284656111146733,4.527805950542729,-0.23720198402253512,5.217455000058914
Chanae,TH9612,2017,6.544126290696116,5.052813160674159,5.588753505705532,5.834795826683464,6.287717497709806,6.268857051374291,5.623220447795787,1.015250040264133,5.9211297654936805
Cho-Airong,TH9613,2017,3.8847565163911124,5.8983709213730995,4.472069027698972,4.933985835047987,5.226651963389185,4.80734796412352,4.34679987708713,,4.813480488877151
Mueang Pathum Thani,TH1301,2017,2.181620382804329,2.749695313951386,,,2.7974947555487146,1.6171023859257059,2.7673888423888813,3.395480801063009,2.6603518944809177
Khlong Luang,TH1302,2017,2.1225926078331,3.1461045173792606,1.6718379431184882,2.305241897583271,2.9755520127112587,2.5314483681577604,3.7536306934391623,3.863248386999657,3.078504605739966
Thanyaburi,TH1303,2017,2.4340144777538293,3.1992606085524327,1.4098057710944956,3.1013187390340877,3.1191848502568287,2.3899600326961017,3.7330780107956483,4.003476917245255,3.195717563171294
Nong Suea,TH1304,2017,2.6775682794460223,3.508101475264216,2.1273833339918684,2.820925217053019,3.3849983331429034,2.92803047301303,4.047780231800001,4.168467376593737,3.4752967081018906
Lat Lum Kaeo,TH1305,2017,2.454535903032004,3.9300696617770647,2.5340708969074504,,3.1858283151276154,2.03517569843986,2.2926584487082926,3.1987581497882296,2.915991604018305
Lam Luk Ka,TH1306,2017,2.273367291550196,2.698866302448249,1.92549081814259,3.1828210937572514,2.372309191353786,1.7724555454556898,3.197385910134671,4.0341562292054665,2.781443088238969
Sam Khok,TH1307,2017,2.7647293662815016,3.3905465356117337,2.1188600573529905,,3.0443441685630512,1.635854159974384,2.8689591217539405,3.430984764635059,2.94572534127571
Mueang Chanthaburi,TH2201,2017,3.8507610261860536,5.040914477250158,2.653896414220768,5.0229276820685085,4.439867779137009,3.060152429485468,5.057889352949226,4.624698821551975,4.600678689186621
Khlung,TH2202,2017,4.50597792296943,5.71384679708686,3.5139740674710556,5.069826566179411,4.767860838863673,5.146869530208746,5.268611082631048,5.23222854053711,5.025485222951317
