admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Ban Bueng,TH2002,2014,0.4577156406815266,0.510748893555946,0.5302174415759777,0.4662989947322713,0.5616714020430429,0.5131186152914182,0.4730659282380156,0.7164990889407068,0.5447229290550232
Nong Yai,TH2003,2014,0.516281827265181,0.5816623412391967,0.5867911960597967,0.5850236031392875,0.5995283359454393,0.5688777469863928,0.5266550057240263,0.4974787844302244,0.5484944366939157
Bang Lamung,TH2004,2014,0.4331030766680509,0.48394506765862805,0.4342643905044625,0.4117812765034783,0.469251063173662,0.5106968839585531,0.5032103889920921,0.4747385190475949,0.4703424584490391
Phan Thong,TH2005,2014,0.34862931984257756,0.29607446424664857,,0.3596201708448268,,0.2776643339459166,0.3834236446773404,1.455449989836127,0.6560161335554018
Phanat Nikhom,TH2006,2014,0.3344936748660063,0.4441376246780442,0.4645419703052343,0.5116780146993423,0.5854612347761926,0.4380956595931987,0.42119684075955593,0.7056732110340758,0.4732906983817924
Si Racha,TH2007,2014,0.47572547214607214,0.4969258428453288,0.4803041499914034,0.4518626918497333,,0.5090182745825566,0.4671957449704039,0.741700639961469,0.5341427479526693
Ko Si Chang,TH2008,2014,,,,,,,,,
Sattahip,TH2009,2014,0.3615124227164772,0.44531620401596816,0.3930783329712975,0.35311794601522306,0.4807598346542125,0.4771921512800107,0.4941536340859984,0.46282773864946436,0.4364203168244927
Bo Thong,TH2010,2014,0.5370565183836955,0.557541127595086,0.5805601848284956,0.5145897692787351,0.550564154873079,0.595809940285787,0.5275918338565014,0.4758840427229191,0.5397416102640015
Ko Chan,TH2011,2014,0.4551400838869662,0.514567002331973,0.5169447147593105,0.47050133150935136,0.5683902836370738,0.5338351566615402,0.4788379128431442,0.4927845875554511,0.5019293331389969
Mueang Bueng Kan,TH3801,2014,0.44183436094902373,0.4467245721268695,0.6870629147007009,0.46991596381474005,0.39642494267799777,0.4436198656247831,0.39596694341599914,0.34200613867133206,0.4013135607673304
Phon Charoen,TH3802,2014,0.3421311674573833,0.34499719764942416,,0.467415034437945,0.34060041239521605,0.42657573814638367,0.3601624160516469,0.29618715432213183,0.35265324341158427
So Phisai,TH3803,2014,0.3679400196909069,0.3534334662201665,,,0.3598763818000251,0.41839615502389516,0.36480142431657364,0.30172770439127017,0.3611666962619059
Seka,TH3804,2014,0.3589199814413992,0.5059471333384402,0.2694563385004215,0.3446789025012218,0.39455902939129733,0.4427381643090999,0.3643145798770692,0.29270764394630083,0.3869998808181821
Pak Khat,TH3805,2014,0.4190491375082296,0.37967698968360214,,,0.35504636385472826,0.44152193634429293,0.3869254876980855,0.31738226828108324,0.3769278917432058
Bueng Khong Long,TH3806,2014,0.345846809306126,0.8767469832793728,,0.3774255980963703,0.44910945605902036,0.47568251252699045,0.38669238444903525,0.2967232294358741,0.4398580927261425
Si Wilai,TH3807,2014,0.3597710845678066,0.5717901535997044,0.44273537730334206,0.3612064524751283,0.37256441054720457,0.4360304451036135,0.3724653557919075,0.30584200369152725,0.39940194066265333
Bung Khla,TH3808,2014,0.4050899209692957,0.5701974000468524,0.49516802562490775,0.3831638813960233,0.41483253290688854,0.4542472490757343,0.38211377247238015,0.3100507090168745,0.4036290619593225
Mueang Sakon Nakhon,TH4701,2014,0.29908874840201005,0.30249154192207667,,0.3624717004222463,0.45731007683374447,0.45809838843321743,0.36262944894669535,0.26759623623420214,0.3428646903614898
Kusuman,TH4702,2014,0.3126839923948896,0.30940182620003104,,0.38148968019956897,0.5056612502239648,0.437953108826218,0.3109783633422527,0.24467636255060315,0.33321997089222055
Kut Bak,TH4703,2014,0.40739427107764076,0.39599078231511453,0.6888217415503306,0.4213199190650103,0.48350241280158435,0.46537749601712364,0.38310853980749343,0.2831429404629508,0.3914156405446277
Phanna Nikhom,TH4704,2014,0.3384659485147455,0.35100717154101485,0.3444562388814166,0.3731108626874367,0.4339835357451898,0.4619714750515217,0.3724814979321793,0.26404232738061534,0.3619904726013881
Phang Khon,TH4705,2014,0.3196478058783732,0.33248214488252975,0.33167218132279436,0.359952145844892,0.39510822277867724,0.4447035098659868,0.3237160748469152,0.24762934171191708,0.3443139542217026
Waritchaphum,TH4706,2014,0.377517989026996,0.3681272920423455,0.3230372709781881,0.3743021250123608,0.431809885422903,0.48627427719268346,0.382826919188207,0.2721615242840849,0.3820326959647859
Nikhom Nam Un,TH4707,2014,0.4429848143243166,0.43377874592754456,,0.39424248203893436,0.45476372896822925,0.4719618615452235,0.39820771513051784,0.3047194142285919,0.4121416284976872
Wanon Niwat,TH4708,2014,0.3266651617201933,0.3637481594337283,0.3522578395598562,0.3785868514560958,0.42506316849643144,0.45726231446393917,0.3160447129160902,0.2504268692475175,0.35595009380729975
Kham Ta Kla,TH4709,2014,0.31594429388417505,0.34978826524766593,0.3532807300664589,0.3612759659771693,0.41428724264043865,0.4476836202120726,0.3403690524980471,0.2671638426802603,0.35460490154472174
Ban Muang,TH4710,2014,0.3427443002086784,0.3235729547015886,,,0.4015373297173281,0.43180253544164243,0.3340169093091083,0.2677553208513238,0.34724782477975624
Akat Amnuai,TH4711,2014,0.29821547703639867,0.37988367281794244,0.3368882286255445,0.2957176873686413,0.3467657538989077,0.3971592871111072,0.31483507888940093,0.24305994015539836,0.3227465065389213
Sawang Daen Din,TH4712,2014,0.32749288425498474,0.33274470722772587,0.3414711500369351,0.3183308299581338,0.3924191642531237,0.4431168704604886,0.33180217015707625,0.2630800715101068,0.34696522766715776
Song Dao,TH4713,2014,0.37047371364292375,0.3636227038412941,0.40123531733619816,,0.4398998093078265,0.44552656863960644,0.35123626591090523,0.2839691688722502,0.36975911819108065
Tao Ngoi,TH4714,2014,0.322763872967462,0.3251947879120802,,0.39748628679971426,0.4195832661528493,0.5316723348380996,0.36255442262071724,0.2890984470823487,0.37272104193042044
Khok Si Suphan,TH4715,2014,0.2903388372886147,0.2780941714369892,,0.3386719965196774,0.3788048579325519,0.443121446623271,0.356970756823033,0.2491676126202572,0.32753682676971296
Charoen Sin,TH4716,2014,0.34650493088895024,0.362493687382175,0.35917679278865544,0.38931990925455645,0.4224413751622391,0.4554514774931984,0.3133199479651895,0.24855577465553635,0.35380386622204996
