admin2Name,admin2Pcod,Year,GCI,GCI_1,GCI_2,GCI_3,GCI_4,GCI_5,GCI_6,GCI_7,GCI_p75
Tha Li,TH4208,2012,2.9016792424420306,2.5175111625441104,,,,4.224171846049476,,2.245744684959671,3.159845428562299
Wang Saphung,TH4209,2012,2.495603728100288,2.303973989184533,,,,3.739876210193601,,2.3408507984513904,2.73982232346196
Phu Kradueng,TH4210,2012,2.889049740954355,2.588607194627676,,,,4.1746618396961095,4.345553521676929,2.5612790155365057,3.161189842413136
Phu Luang,TH4211,2012,2.4803625959066258,2.316835371645591,,,,4.099323558044128,,1.951874251918101,2.999669240643132
Pha Khao,TH4212,2012,2.3680914835994824,2.2304913330033127,,,,4.0122445112598255,3.736602701707028,2.552501536950954,2.8959061670687145
Erawan,TH4213,2012,2.1842487851995327,2.246975423940401,,,,3.995052619132904,4.034030133862299,2.8011681264566626,2.8126606441197644
Nong Hin,TH4214,2012,2.560702924326949,2.2692231095445785,,,,3.985651529181669,,2.142867044552556,2.9372319310594435
Mueang Satun,TH9101,2012,,,,,,5.428387949865582,5.136096940495939,,5.3135912312748825
Khuan Don,TH9102,2012,,,,,,5.157505648810908,4.981821456626951,,5.135883874233785
Khuan Kalong,TH9103,2012,,,,,,6.739944838937609,6.224587674810343,,6.569469243885517
Tha Phae,TH9104,2012,,,,,,6.367398943739947,6.057791137958439,,6.268385211345294
La-Ngu,TH9105,2012,,,,,,5.24908412843677,5.277615594089159,,5.206676565427286
Thung Wa,TH9106,2012,,,,,,5.139395103803126,6.655175975592296,,5.170734746169552
Manang,TH9107,2012,,,,,,6.999780814501903,6.589189079775351,,6.868676544762299
Mueang Trang,TH9201,2012,,,,,,4.634495153922698,,,4.634495153922698
Kantang,TH9202,2012,,,,,,4.98164389181451,,,4.98164389181451
Yan Ta Khao,TH9203,2012,,,,,,6.041187259565487,,,6.041187259565487
Palian,TH9204,2012,,,,,,5.513666243813542,5.697201165121688,,5.515527480738851
Sikao,TH9205,2012,,,,,,5.238708683756477,,,5.238708683756477
Huai Yot,TH9206,2012,,,,,,4.944856848022644,,,4.944856848022644
Wang Wiset,TH9207,2012,,,,,,5.733213426347964,,,5.733213426347964
Na Yong,TH9208,2012,,,,,,3.5992895890338263,,,3.5992895890338263
Ratsada,TH9209,2012,,,,,,4.940139467984263,,,4.940139467984263
Hat Samran,TH9210,2012,,,,,,5.409321920361792,,,5.409321920361792
Mueang Yala,TH9501,2012,,4.148814983091671,4.049042912003319,2.9475290820955884,,4.223452029492427,4.003425580305425,4.542413520870491,4.088503758106016
Betong,TH9502,2012,,7.031653867343737,7.305120041351627,5.178030996475759,,6.922406163783705,6.624486662713841,7.645161789370118,6.990169205837917
Bannang Sata,TH9503,2012,,5.715963168141165,6.892462649332522,5.781818831256074,,6.607694716612062,5.976150036056306,8.127590678857608,6.465464529564809
Than To,TH9504,2012,,2.8765021656989096,5.220564659333469,4.149947641498816,,5.293065655962025,6.745896142915004,4.613952644121686,4.931330437361448
Yaha,TH9505,2012,,,,,,4.604918672592039,5.604052616213046,,5.328060262136022
