admin2Name,admin2Pcod,Year,LAI,LAI_1,LAI_2,LAI_3,LAI_4,LAI_5,LAI_6,LAI_7,LAI_p75
Wang Saphung,TH4209,2012,1.0270578313368794,1.1882599125154645,,,,1.840971242288387,,1.3575200461138297,1.34694630049672
Phu Kradueng,TH4210,2012,1.219913529016626,1.531415809828242,,,,1.8865104638261552,1.6202479197702184,1.238320128746318,1.4790876532015562
Phu Luang,TH4211,2012,0.9944534328765828,1.2018503896814845,,,,1.899579307495547,,1.274484108128484,1.404850732313398
Pha Khao,TH4212,2012,1.0782171711368629,1.1994724651632704,,,,2.014275815643284,1.5895490675483317,1.215494602958401,1.3996568577844153
Erawan,TH4213,2012,0.9079585332844528,1.2464256568045666,,,,1.9584011964253811,1.7482216203438103,1.4026046986756435,1.3483015539526682
Nong Hin,TH4214,2012,1.1028176872457294,1.2050912994194218,,,,1.8722761955498333,,1.40166352207373,1.4194354047030917
Mueang Satun,TH9101,2012,,,,,,1.6558888807174923,1.6540379218388033,,1.663111236558546
Khuan Don,TH9102,2012,,,,,,1.573381018036264,1.6542015619561796,,1.6290536452279625
Khuan Kalong,TH9103,2012,,,,,,2.014929962126716,1.971763185559172,,2.0035138377387285
Tha Phae,TH9104,2012,,,,,,1.914148526563884,1.8861436713729176,,1.9025768316088496
La-Ngu,TH9105,2012,,,,,,1.6982582571978575,1.7844534583348812,,1.7065367930183035
Thung Wa,TH9106,2012,,,,,,1.7061059356771084,1.941664775468218,,1.7114568051255672
Manang,TH9107,2012,,,,,,2.1143746796423475,2.0012283470859837,,2.062779592089405
Mueang Trang,TH9201,2012,,,,,,1.9904722651695492,,,1.9904722651695492
Kantang,TH9202,2012,,,,,,1.9421155234640064,,,1.9421155234640064
Yan Ta Khao,TH9203,2012,,,,,,2.057589064200679,,,2.057589064200679
Palian,TH9204,2012,,,,,,1.9120374438910517,2.055451150346882,,1.9125540167589143
Sikao,TH9205,2012,,,,,,1.8984780201797875,,,1.8984780201797875
Huai Yot,TH9206,2012,,,,,,1.9924362542251413,,,1.9924362542251413
Wang Wiset,TH9207,2012,,,,,,2.2349069542035864,,,2.2349069542035864
Na Yong,TH9208,2012,,,,,,1.628156371016346,,,1.628156371016346
Ratsada,TH9209,2012,,,,,,1.931818482843368,,,1.931818482843368
Hat Samran,TH9210,2012,,,,,,1.7737029293467057,,,1.7737029293467057
Mueang Yala,TH9501,2012,,1.76264458568592,1.688893816111836,1.5279921781869017,,1.5748914889272243,1.4606073263988362,1.5368544353933518,1.529679561370335
Betong,TH9502,2012,,2.099572934105176,2.039853151671508,2.1346280449757336,,1.971039413318764,1.7675647181655536,1.8520974855863892,1.9233930427029104
Bannang Sata,TH9503,2012,,2.1590685614628717,1.979243444020088,1.836056068060215,,1.8736367342820015,1.801708498166127,2.0805252519792705,1.9344697266382476
Than To,TH9504,2012,,1.0571577702362926,1.6385593282841826,1.895926953750218,,1.6882766215746,1.934306584811428,0.994645466850503,1.5418062319923556
