admin2Name,admin2Pcod,Year,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7,Total_Precipitation
Tha Li,TH4208,2012,351.3253870005696,177.48791020751818,150.24644075291664,127.334508896108,325.5088070522229,85.67172747341527,28.542215271950703,9.156934838533637,1255.2739314932348
Wang Saphung,TH4209,2012,253.67970989851787,130.3360877837692,152.57233016473688,141.35507174741957,278.53348978972326,95.20650003373188,11.933131007197964,0.8529519059274205,1064.469272331024
Phu Kradueng,TH4210,2012,238.50127263039897,105.32978448034063,144.65029282950184,175.68266069172347,296.7233661809581,70.3817066637285,24.89869929705661,10.778061425027673,1066.9458441987358
Phu Luang,TH4211,2012,256.8125240892067,114.93752041065234,152.6640857689794,156.4395882475924,322.6456839409819,99.52358927372912,12.72399400788567,3.2977884623692657,1119.0447742013969
Pha Khao,TH4212,2012,219.39000366793735,111.26858317538576,137.89486855627422,164.1802544838498,280.4350863477756,87.82223937913862,9.196171072805402,1.0325207418309517,1011.219727424998
Erawan,TH4213,2012,241.8041510030788,157.57247496193557,159.13018704712934,155.7318831930189,272.2365983867566,94.86409038231334,6.411572127868758,0.9711896526427732,1088.722146754744
Nong Hin,TH4214,2012,244.33446814545317,114.31564576736072,146.213365898656,174.67685293944584,320.2588295942096,81.80014475397982,16.083401821769044,4.914493477206698,1102.597202398081
Mueang Satun,TH9101,2012,153.99285995960236,114.75897288322447,185.19334650039676,165.03706789016724,333.4667431116104,334.2070653438568,217.29572796821597,183.40809667110443,1687.3598803281784
Khuan Don,TH9102,2012,143.07176280021667,100.62012720108032,153.8316888809204,123.07490396499634,269.51491928100586,292.64723229408264,223.07449340820312,236.95771622657776,1542.7928440570831
Khuan Kalong,TH9103,2012,136.83548306150172,109.43499033691688,143.86622811326194,125.69813488514052,266.170407553769,274.03187980608106,234.07831695976608,246.6503132203304,1536.7657539367676
Tha Phae,TH9104,2012,141.65176015846,103.97070443306512,155.01014759239368,127.03543206032504,295.5395688647503,280.8415696826426,222.2147700018134,217.35210741312196,1543.6160602065722
La-Ngu,TH9105,2012,165.2392922579768,120.22689637834262,158.7175687345965,124.81244033337904,307.2264670351772,263.7438876983025,227.699714952818,242.79991034614,1610.4661777367326
Thung Wa,TH9106,2012,,,,,,,,,
Manang,TH9107,2012,149.31038308143616,103.0656270980835,143.11518478393555,127.3080039024353,241.045485496521,236.8660328388214,246.6867618560791,286.63381576538086,1534.0312948226929
Mueang Trang,TH9201,2012,177.80612117882015,164.07359662689743,230.30128870281996,204.20089743559876,263.7234938627557,230.82389174081095,184.4258478442325,297.9178330038167,1753.2729703957525
Kantang,TH9202,2012,,,,,,,,,
Yan Ta Khao,TH9203,2012,156.96057884097095,159.33915600496178,214.21711071869905,170.01866433059465,267.4714736345936,237.1960825474823,228.9032192111015,325.3045386587872,1759.4108239471911
Palian,TH9204,2012,160.38025341407362,152.41039590950473,197.92638475923653,144.2493826229888,279.63215246114385,232.3631947981306,225.99108675589045,309.1658338882837,1702.1186846092523
Sikao,TH9205,2012,,,,,,,,,
Huai Yot,TH9206,2012,,,,,,,,,
Wang Wiset,TH9207,2012,,,,,,,,,
Na Yong,TH9208,2012,188.5819919823718,171.9825978967029,233.4270855610233,202.64180541479485,273.2171423849724,249.1359247126503,215.99945802253504,327.3246460722348,1862.3106520472847
Ratsada,TH9209,2012,183.35916471481323,158.06818771362305,186.90043258666992,143.13692140579224,205.96374702453613,211.32589030265808,235.68906164169312,395.6953520774841,1720.13875746727
Hat Samran,TH9210,2012,,,,,,,,,
Mueang Yala,TH9501,2012,,,,,,,,,
Betong,TH9502,2012,,,,,,,,,
Bannang Sata,TH9503,2012,,,,,,,,,
Than To,TH9504,2012,,,,,,,,,
