admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Tha Li,TH4208,2012,0.3472138128207419,0.5700782892703913,,,,0.5588323669657633,,0.469758743742253,0.4899768540708413
Wang Saphung,TH4209,2012,0.3164891739460685,0.3610447519390462,,,,0.5414514213069,,0.4078275417672254,0.4049050029012542
Phu Kradueng,TH4210,2012,0.36979367855628,0.4558916002842033,,,,0.5540382708198365,0.4804444222692692,0.3748811853914657,0.441428317634486
Phu Luang,TH4211,2012,0.3074774551897691,0.3648011027312033,,,,0.5576504443050181,,0.3848767573600014,0.4209095445863506
Pha Khao,TH4212,2012,0.330629400535346,0.3641438543845472,,,,0.5893520772922277,0.4719593884876476,0.36857230595865,0.4194739794871307
Erawan,TH4213,2012,0.2835706283262749,0.3771215192936836,,,,0.5739085672817414,0.5158158154626342,0.4202887503249533,0.4052795892627618
Nong Hin,TH4214,2012,0.3374288798357454,0.3656968765670028,,,,0.5501039788694982,,0.4200286130662618,0.4249406867614983
Mueang Satun,TH9101,2012,,,,,,0.4902954341397136,0.4897838368819234,,0.4922916629515022
Khuan Don,TH9102,2012,,,,,,0.4674906075279886,0.4898290663228813,,0.4828782877910331
Khuan Kalong,TH9103,2012,,,,,,0.589532880632035,0.5776017649417307,,0.5863775118128022
Tha Phae,TH9104,2012,,,,,,0.5616773152470649,0.5539368909267336,,0.5584789473766811
La-Ngu,TH9105,2012,,,,,,0.5020061517959841,0.5258301432655835,,0.5042943043168366
Thung Wa,TH9106,2012,,,,,,0.5041752171578503,0.5692826908425143,,0.5056541749932487
Manang,TH9107,2012,,,,,,0.617018982764611,0.5857458117982254,,0.6027583173270964
Mueang Trang,TH9201,2012,,,,,,0.5827728759451434,,,0.5827728759451434
Kantang,TH9202,2012,,,,,,0.5694072756948607,,,0.5694072756948607
Yan Ta Khao,TH9203,2012,,,,,,0.6013236772251773,,,0.6013236772251773
Palian,TH9204,2012,,,,,,0.5610938208654113,0.600732766817823,,0.5612365994358534
Sikao,TH9205,2012,,,,,,0.5573460531176858,,,0.5573460531176858
Huai Yot,TH9206,2012,,,,,,0.5833157142689688,,,0.5833157142689688
Wang Wiset,TH9207,2012,,,,,,0.6503335970711945,,,0.6503335970711945
Na Yong,TH9208,2012,,,,,,0.4826302849685883,,,0.4826302849685883
Ratsada,TH9209,2012,,,,,,0.5665612169274121,,,0.5665612169274121
Hat Samran,TH9210,2012,,,,,,0.5228587422185442,,,0.5228587422185442
Mueang Yala,TH9501,2012,,0.5198022624891986,0.4994178596218445,0.4549453228819516,,0.467908095336435,0.4363204329460574,0.4573948135415572,0.4554117085047902
Betong,TH9502,2012,,0.6129278424834642,0.5964215455145129,0.6226169278539898,,0.5774017173352023,0.5211621664360291,0.5445266682107205,0.5642324606696826
Bannang Sata,TH9503,2012,,0.6293721839311422,0.5796692769541418,0.5400928877999492,,0.5504800260591491,0.530599363782789,0.6076631431672938,0.5672940095738677
Than To,TH9504,2012,,0.3248086706015182,0.4855056186523445,0.5566409490741342,,0.4992472696447208,0.5672489178583271,0.307530532573384,0.4587634693179534
Yaha,TH9505,2012,,,,,,0.4883065612492565,0.5356363535650714,,0.5239439019596627
Raman,TH9506,2012,,0.4559827633065527,0.436707261601097,0.4565242318692172,,0.4772428938676921,0.4375621218240155,0.4147280152456333,0.4498751657243074
Kabang,TH9507,2012,,,,,,0.5960399566647943,0.5879109669776882,,0.592423336838706
Krong Pinang,TH9508,2012,,0.6209264092456943,0.6034090694643149,0.4699071361966617,,0.5531241267626414,0.5659943436658966,0.6800096931264299,0.5780226609011108
Mueang Trat,TH2301,2012,,,0.5302577698226758,0.4673710201610824,,0.5165582633757209,0.5040126044187367,0.3603039114291799,0.5101741256526232
