admin2Name,admin2Pcod,Year,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,F_WS
Nong Hin,TH4214,2012,0.5094510250828912,1.331997204011352,1.2063591522299544,1.263236323229327,0.1965559564393897,0.2808496135550328,0.2985970845795581,0.4675356654124203,0.6943227530674908
Mueang Satun,TH9101,2012,1.6000374446380514,1.4858805598967553,1.3090224118245124,1.486823857468223,1.3623492908774646,0.3641296910810215,0.8812746261501979,1.7913380490046569,1.2851069913676103
Khuan Don,TH9102,2012,1.6000374446380514,1.4858805598967553,1.3090224118245124,1.486823857468223,1.3623492908774646,0.3641296910810215,0.8812746261501979,1.7913380490046569,1.2851069913676103
Khuan Kalong,TH9103,2012,1.6275519315621338,1.5240377238675396,1.2825505971030964,1.4972343514738355,1.3739412151386363,0.3729328096655174,0.818492986511041,1.7274343981082596,1.2780220016787576
Tha Phae,TH9104,2012,1.64556227538913,1.4921305788796375,1.260281167863665,1.4831630482566416,1.3855062099581157,0.4067000503550126,0.8274297716269905,1.7762395924858778,1.2846265868518838
La-Ngu,TH9105,2012,,,,,,,,,
Thung Wa,TH9106,2012,,,,,,,,,
Manang,TH9107,2012,1.6081898963289765,1.557134487725062,1.3063866820950292,1.5119192700407846,1.3615925112484604,0.3372245703665097,0.8099453786398422,1.6768863612192633,1.2711598947079912
Mueang Trang,TH9201,2012,1.8477798651569253,1.915308006642625,1.5685276856783656,1.831136917963408,1.5844875726558842,0.1821304542771044,0.9644527153669208,1.8620955292509616,1.4694898433740242
Kantang,TH9202,2012,,,,,,,,,
Yan Ta Khao,TH9203,2012,1.5638260896994454,1.642135628473684,1.3170103090028131,1.5361870847714194,1.3361397018990688,0.1798328862645457,0.7782110063766373,1.498106464534858,1.231431146377809
Palian,TH9204,2012,1.5852761313142565,1.5645207056112207,1.2433406886081209,1.4916479124818318,1.3498093615776068,0.3071746452150755,0.7294034859823801,1.526611305113794,1.2247230294880358
Sikao,TH9205,2012,,,,,,,,,
Huai Yot,TH9206,2012,,,,,,,,,
Wang Wiset,TH9207,2012,,,,,,,,,
Na Yong,TH9208,2012,1.7522425599774794,1.830169527551838,1.4889955257703884,1.735625735485155,1.5017393433769943,0.171311179378459,0.9010063488908936,1.7305471950375737,1.3889546769335974
Ratsada,TH9209,2012,,,,,,,,,
Hat Samran,TH9210,2012,,,,,,,,,
