admin2Name,admin2Pcod,Year,T_MAX,T_MAX_1,T_MAX_2,T_MAX_3,T_MAX_4,T_MAX_5,T_MAX_6,T_MAX_7,F_T_Max,T_Min,T_Min_1,T_Min_2,T_Min_3,T_Min_4,T_Min_5,T_Min_6,T_Min_7,F_T_Min,T_Mean,T_Mean_1,T_Mean_2,T_Mean_3,T_Mean_4,T_Mean_5,T_Mean_6,T_Mean_7,F_T_Mean
Si Mueang Mai,TH3402,2012,32.02401848207175,30.23000872571324,29.912686489400542,29.54286414075616,29.484473062668958,30.35025076289127,31.423044752750755,31.555553183068135,30.565362449915103,24.775580429473667,24.548544814364444,23.942331589733463,23.67119871600547,23.434332526087978,22.44672588137468,22.991871972829834,21.245258967167825,23.381980612129674,27.72962710981168,26.816176823258996,26.318395634249956,25.94118399703926,25.780326137331826,25.98965761105348,26.815630732210415,26.01683487002187,26.42597911437219
Khong Chiam,TH3403,2012,32.00962995913906,30.26948279996891,29.99217260130038,29.66155858222716,29.624053423946254,30.44029292103817,31.70268130232101,31.95488122296244,30.706844101612926,25.0029518572121,24.733128676512976,24.177853357545764,23.919783956252036,23.701808315040815,22.715110963354437,23.3833429477208,21.687716771257232,23.66521210561202,27.84962633020603,26.945152747455275,26.462594964018987,26.133297454736482,25.97769313238366,26.18502785449185,27.16880173659725,26.497309864074758,26.652438010495537
Khueang Nai,TH3404,2012,32.45051512982907,31.064232774400946,30.8809436678352,30.141932731138056,29.806301990275266,30.312021885802054,31.36684068209389,31.32496314860705,30.918469001247693,25.109685725289832,25.23281521875586,24.533978873624946,24.231647713380383,23.70253530003389,22.660065961304646,23.099132042672448,21.132454625190203,23.712789432531526,28.17601203061179,27.672633855883394,27.159725169346725,26.65325140262638,26.129512321688868,26.229312340090647,26.998612791554656,26.021122837803865,26.88002284370079
Khemarat,TH3405,2012,32.02843940274351,30.28437010273476,30.094159091192108,29.455865891253385,29.605853830602747,30.78612106267657,31.951065010668394,31.41942148558523,30.70316198468209,24.800504538027717,24.725698611196368,24.108353053025233,23.758480833571273,23.525426902377276,22.54339769197801,23.06409917529166,20.84660836546615,23.42157114636671,27.748595567379848,27.0095449089015,26.58072189646825,26.049723320995575,25.96411445423122,26.300389010875847,27.032048728122984,25.546478749570625,26.52895207956823
Det Udom,TH3407,2012,32.07529278525971,30.601867250146046,30.338379503429817,29.985116208694755,29.551139305784485,30.085229501532364,31.096028599999144,31.203524370435467,30.617072190660224,24.84869220687727,24.793384686389683,24.200432548178107,24.056045256776304,23.52132190338342,22.508839231387093,23.13453988725782,21.263445220859566,23.540837617638655,27.811517625933934,27.229248678356317,26.597924703136556,26.353459881711824,25.852862856503315,25.995047300221408,26.889587951983547,26.18967860663322,26.61491595056001
Na Chaluai,TH3408,2012,31.217438252162157,29.924650966161987,29.593287330276684,29.395906675053755,29.132911004252843,29.667071700699047,30.79173661681429,31.04035457855376,30.09541964049681,24.165837488616706,24.170966330780402,23.602288771881476,23.558364705491357,23.104088681538922,22.25695199944509,22.922870575038882,21.0687878278911,23.10626954758549,27.073174529164458,26.5398543419966,25.940370101782577,25.806823464901534,25.34899503130568,25.534762192357103,26.540712135870354,25.98826229966139,26.096619262129963
Nam Yuen,TH3409,2012,31.30044432824322,29.92531216930505,29.696598259838648,29.426566567604425,29.18228054648584,29.75237267491347,30.70637338036797,30.938477654070613,30.116053197603648,24.288158146411185,24.31648747695261,23.75450892155141,23.690105929107794,23.17727494625365,22.380313310005864,22.941324634284,21.029753275639777,23.197240830025784,27.227150301613655,26.672074648331275,26.08351095550066,25.91971623274917,25.43247366070905,25.669378938830928,26.5624892554012,25.960965932795308,26.190969990741408
Buntharik,TH3410,2012,31.184168733819117,29.877433233515816,29.527599512056845,29.344959636729754,29.107282734388903,29.690655318730915,30.952463319063437,31.17287118579434,30.107179209262394,24.40348704174235,24.291763800329576,23.750976570046408,23.662289387205842,23.330841901347164,22.572229958901204,23.29732013215653,21.577610061147464,23.360814856609565,27.174292245733014,26.576672309324625,25.989566202852327,25.85399363052717,25.499469525280325,25.728434248942197,26.82941635665116,26.32035272594765,26.246524655657307
Trakan Phuet Phon,TH3411,2012,32.29197325816692,30.543206774853335,30.208720981401974,29.7094371304606,29.63343603520787,30.43853122934534,31.357106318984837,31.255691058074827,30.67976284831196,24.849659597846337,24.76166989994313,24.103690120267267,23.770159347363258,23.46676451159543,22.49285289737798,22.91025781270644,21.044673701764168,23.424965986108,27.896834866798446,27.12440405282363,26.61386601356611,26.133674085204927,25.906525796699313,26.101721645337236,26.79381732815696,25.719922016048326,26.536345725579366
Kut Khaopun,TH3412,2012,32.1581326597783,30.364415608665176,30.10183316563367,29.53547642290709,29.565879238180134,30.49499182802177,31.589143652355535,31.2817800948681,30.636456583801227,24.755374276440836,24.68912289937339,24.065548373095584,23.702201120747787,23.412525802494727,22.436906807225128,22.919703500854276,20.878939987548044,23.357540345972474,27.78377490579376,27.025958927916523,26.5565316115118,26.03479671429273,25.857051964271676,26.104412715620327,26.865125006134903,25.56973565235765,26.474673437237417
