admin2Name,admin2Pcod,Year,EVI,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_p75
Mae Tha,TH5210,2017,0.4003693082332731,0.4420602881943483,0.4004826958165509,0.5444214998198192,0.5690906731625669,0.6170950583295384,0.5482587709103204,0.37485714686526106,0.49623203752066863
Sop Prap,TH5211,2017,0.3813234539987799,0.4254369560224589,0.3510672686083848,0.5080396081232098,0.5217082027021525,0.6266552193805279,0.5594060178810469,0.3501596483780976,0.4675533635588683
Hang Chat,TH5212,2017,0.4654370302233885,0.44761740341631845,0.44569750017168364,0.5487849077781788,0.5623126062431355,0.592356992808349,0.5119229317261845,0.3761397977338343,0.4952186818541098
Mueang Pan,TH5213,2017,0.42698849845761816,0.7408249028611986,0.45620170965435436,0.587302244276279,0.6121668933269093,0.6053256218198448,0.5115068428404208,0.39335946946984757,0.5460144962067188
Mueang Phayao,TH5601,2017,0.3199047069202894,0.32868063457715757,0.35261686699666916,0.49501209008109326,0.5124970904601698,0.5519958921329522,0.5110250492625007,0.331947200667251,0.423562774433862
Chun,TH5602,2017,0.23623570069417357,0.3089066587911518,0.6416760340384899,0.47174880667258673,0.5079797598491609,0.5225486471362552,0.4172491924135157,0.27425694792389843,0.37784510091571943
Chiang Kham,TH5603,2017,0.29108625169120367,0.33996888742860215,0.379028296968183,0.45820414773854895,0.44928823519206695,0.4921164150290787,0.4693659705997008,0.3170795549668415,0.3953072104389354
Chiang Muan,TH5604,2017,0.3791529443293292,0.4364473660747766,0.4887019760469454,0.5047875376195718,0.47426641851319246,0.4835703771421594,0.46573112347690687,0.3777571918004099,0.4465340423140372
Dok Khamtai,TH5605,2017,0.2484434961593836,0.26831139981760876,0.4269119811013976,0.42416306950212,0.4460235967907206,0.5096188675195861,0.4986756440750527,0.298657322306327,0.3794160984307449
Pong,TH5606,2017,0.338897075193264,0.4250757056587385,0.484408086613329,0.5082409882380249,0.5022127888040558,0.5307853382075791,0.5081083458552638,0.4073372552614647,0.4633588694988349
Mae Chai,TH5607,2017,0.34681139792577,0.3086920345534917,0.3538677322612345,0.4978680179826261,0.5184089104555379,0.5858980230644116,0.5072109100485533,0.3116682696014298,0.42377602281793264
Phu Sang,TH5608,2017,0.39181514755267455,0.3887911914829202,0.3820519040848534,0.522349926560919,0.5085078545348145,0.5215497926196168,0.5077242739894076,0.3572361432526133,0.44315047824394094
Phu Kamyao,TH5609,2017,0.2660648344626336,0.32127431024070585,0.34213158004744126,0.4324283017998422,0.45311421914057115,0.5192691437466233,0.49092825852711647,0.2934613302982606,0.3913028490753272
Mueang Phichit,TH6601,2017,0.28673175400289114,0.3854118615165217,,0.36859198747516947,0.33997496891251927,0.37202050017006655,0.32190648341923184,0.28381211411012214,0.33790615337190893
Wang Sai Phun,TH6602,2017,0.2209112397703744,0.27473039998944354,,0.38808976772199305,0.41886954202680454,0.45587190378244447,0.33855462470967046,0.2870326466742463,0.3381105956174654
Pho Prathap Chang,TH6603,2017,0.27107480209547885,0.35762465211384453,,0.4590694279632838,0.45769612509364876,0.2569438077934322,0.3224644660440268,0.3206470001948842,0.3595241073059527
Taphan Hin,TH6604,2017,0.2697218135608266,0.3589946234287101,,0.3802240373094983,0.3333957879614812,0.46319523373556754,0.34215295843360405,0.2931892372763566,0.3494813859532051
Bang Mun Nak,TH6605,2017,0.24350818048310585,0.32145771020431885,,0.2769430425351778,0.3135811339933683,0.3315674700026841,0.2675243496785718,0.2336194010370719,0.2849211269735022
Pho Thale,TH6606,2017,0.31264237030950204,0.40569183385457525,,0.4340442004219844,0.518348636235978,0.31758168578819385,0.2976193038282936,0.31127304471121964,0.37124006629381995
Sam Ngam,TH6607,2017,0.2947229430249881,0.35801963507567974,,0.3910730205221243,0.5732989165180151,0.2839057505846289,0.2782137503730647,0.28732138812081826,0.3508983685328857
Tap Khlo,TH6608,2017,0.1908135762110038,0.30909356183142933,,0.4340680213310804,0.3567381666190308,0.5042838904414899,0.32021050913984433,0.28811283663576115,0.3371728827732068
Sak Lek,TH6609,2017,0.31307856148518864,0.324555217206065,,0.34264698178599173,0.5664071883365616,0.40396837860195184,0.38612447661327043,0.3087541371844775,0.37774061291918526
