admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Chai Badan,TH1604,2016,144.04597537878792,122.3518560606061,121.67375000000004,118.83745265151516,106.92316287878789,116.28837121212125,103.40874053030304,73.41555871212124,113.36810842803033,167.6598011363637,130.01323863636372,123.92200757575762,118.83745265151516,106.92316287878789,116.28837121212125,107.31158143939396,117.3507291666667,123.53829308712129
Tha Wung,TH1605,2016,101.3787040161998,92.01727978400271,105.85653054336824,118.35308808639894,106.5141410732366,117.4966587917651,103.18400269996624,72.04785690178876,102.1060327370908,163.70850489368883,127.84552818089774,121.65214309821125,118.37505906176176,106.5141410732366,117.4966587917651,109.24758690516367,116.94657441781979,122.72327455281805
Ban Mi,TH1606,2016,102.7241583864749,85.83720895743734,101.51130060803798,117.6754411982797,106.7296603885511,118.87911908646004,101.02239359335607,70.75283998220377,100.64151527510009,167.2401305057096,128.93817292006528,121.28384991843392,117.67941569034554,106.7296603885511,118.87911908646004,109.61051460774134,117.8690048939641,123.52873350140887
Tha Luang,TH1607,2016,136.93713720316626,112.70468337730875,115.99854881266498,119.04182058047498,106.65556288478456,114.90292436235711,102.90415567282322,72.68755496921727,110.22904848284962,166.08913808267377,129.24452506596313,122.9321240105541,119.04182058047498,106.65556288478456,114.90292436235711,106.31888742304312,116.21846965699214,122.67543150835535
Sa Bot,TH1608,2016,129.0459939759036,105.70840361445782,114.2200903614458,117.54704819277107,106.63972891566263,117.2928313253012,100.41743975903614,72.02201807228916,107.86169427710841,167.64283132530122,129.3974096385542,122.29867469879517,117.54704819277107,106.63972891566263,117.2928313253012,108.82319277108435,118.29234939759037,123.49175828313251
Khok Charoen,TH1609,2016,140.11055979643766,114.23736822973466,121.26735732460926,117.23640494365688,105.86468556888407,117.77586332242824,100.76566703017083,71.76932024718288,111.12840330788805,168.56817520901495,129.74043984005817,122.6893675027263,117.23640494365688,105.86468556888407,117.77586332242824,108.65723373318792,116.7971828426027,123.41616912031984
Lam Sonthi,TH1610,2016,153.11474137931037,126.36123563218392,122.10635057471265,119.77902298850574,107.65522988505748,116.86347701149428,106.20485632183909,74.26635057471263,115.79390804597703,168.42063218390805,131.08491379310345,125.39810344827586,119.77902298850574,107.65522988505748,116.86347701149428,107.76701149425287,117.36755747126438,124.29199353448278
Nong Muang,TH1611,2016,123.28897154547147,98.98899014320254,108.84413241584528,116.8180583968756,105.41530593267622,117.38735354286783,100.02997954249582,70.30429607587874,105.13463594941418,167.56168867398182,128.93247163846013,121.11281383671194,116.8180583968756,105.41530593267622,117.38735354286783,108.96581737028082,116.12635298493588,122.78998279709877
Mueang Chai Nat,TH1801,2016,104.45313046519766,86.93438265127669,103.44225253585176,114.09188527457157,105.11343126967473,120.20486183980415,110.65823714585521,68.76152500874433,101.70746327387202,166.6885274571529,128.0881776845051,118.70664568030786,114.09188527457157,105.11343126967473,120.20486183980415,111.35571878279119,115.54274221755864,122.47399877579578
Manorom,TH1802,2016,111.76623989218332,96.16886792452831,111.33746630727764,114.83183962264151,105.28699460916442,120.47506738544479,111.67257412398924,69.76907008086253,105.16351499326144,167.96391509433965,128.86977762803238,119.31573450134775,114.83183962264151,105.28699460916442,120.47506738544479,112.18436657681947,116.17708894878709,123.13809804582212
Wat Sing,TH1803,2016,115.4523159144893,93.91820071258911,104.19337885985749,113.00198931116388,104.4451306413302,119.8643408551069,112.25478028503564,73.24379453681712,104.5467413895487,165.27485154394302,126.54055819477436,116.87158551068885,113.00198931116388,104.4451306413302,119.8643408551069,112.25478028503564,116.35255344418051,121.82572372327792
Sapphaya,TH1804,2016,96.45863084284136,78.94784688995216,99.30231873389769,114.77813765182185,105.73014354066986,120.16621273463379,106.55921972764078,65.99562016930437,98.49226628634523,166.80688259109317,128.51851306588148,119.71350754508647,115.40375414059626,105.73014354066986,120.16621273463379,111.13625322046374,116.4051895472948,122.98505704821494
Sankhaburi,TH1805,2016,96.58079939286618,75.38059701492539,92.10462939539595,112.42117379205669,105.06316721477363,119.40933468251961,109.08613711105495,67.93609916519101,97.24774222109791,165.09494055147994,127.55213761699976,118.3269415633696,114.57548697192013,105.06316721477363,119.40933468251961,110.89415633695931,115.5481912471541,122.058044523147
