admin2Name,admin2Pcod,Year,WS,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,F_WS
Satuek,TH3111,2015,2.2708859288861944,2.3757696189485,2.7628945151362294,2.184716618108907,1.1971196818576584,0.8071140588930369,1.8051427158052307,2.673837387104484,2.0096850655925302
Pakham,TH3112,2015,2.4633533916772494,2.2798736634697057,2.7335716215678594,1.9613043524325018,1.1659495789101577,0.45545839410601824,1.257848026976438,1.9185202079998243,1.7794849046424692
Na Pho,TH3113,2015,2.4731240950378695,2.5774197232678167,2.939930831702569,2.4046081430098765,1.2708550040858404,0.7806187594053686,1.9329238473075434,2.5047585015433578,2.11052986317003
Nong Hong,TH3114,2015,2.3992401912957257,2.3611914635307794,2.8095022986618514,2.115508620393021,1.1917091395431731,0.7118396235927953,1.6530220175823518,2.3079752291414093,1.9437485729676383
Phlapphla Chai,TH3115,2015,2.5841185356489667,2.399225103020125,2.7427050853412513,2.1026320609225104,1.2186996976472126,0.7690354341346388,1.579998608193754,2.586929518508774,1.9979180054271541
Huai Rat,TH3116,2015,2.3685721874151184,2.380635744099349,2.754096628075542,2.1414970526153594,1.2090708657280447,0.7566386567320476,1.665827163474713,2.5874965363104385,1.9829793543063265
Non Suwan,TH3117,2015,2.4308765128029215,2.292394874052152,2.783901111370379,2.013439082002718,1.1718408715293476,0.5213148803441047,1.4051266859942655,1.9944825985224235,1.8266720770772888
Chamni,TH3118,2015,2.4443644554093096,2.33031647118594,2.7952786922909865,2.0964936225663595,1.185510433658404,0.7570526663465919,1.6760441273768916,2.453039734903439,1.9672625254672405
Ban Mai Chaiyaphot,TH3119,2015,2.3797459666999465,2.5253769025838664,2.912144765851454,2.3619212515189045,1.282366175337948,0.7669878887296726,1.8879284681082695,2.4730108060114717,2.0736852781051915
Non Din Daeng,TH3120,2015,2.531423229338508,2.2987300126705152,2.737783669436939,1.9913577940620448,1.1903152207218712,0.4937470173195212,1.312045702009686,2.052843638089976,1.8260307854561326
Ban Dan,TH3121,2015,2.285404374423928,2.3532920042412746,2.7466240234975876,2.145160876888618,1.193806982998196,0.7810935565630374,1.7225639202417593,2.588305414652998,1.9770313941884248
Khaen Dong,TH3122,2015,2.2174494653387673,2.3708209449875413,2.7817266399720477,2.20807547955623,1.1918202622100615,0.8182300668764492,1.8563155642019311,2.608647339020272,2.0066357202704124
Chaloem Phra Kiat,TH3123,2015,2.5804373144476167,2.3272421264709577,2.7892227881111866,2.0600601239407275,1.1968376820030042,0.6929550968420198,1.5750855730129927,2.4033764379598144,1.9531521428485403
Mueang Maha Sarakham,TH4401,2015,2.4715131111772797,2.525988192215686,2.69232982941136,2.1118443765297177,1.0155395062865953,0.8613002487790477,2.068075073532192,2.528981518419301,2.0344464820438968
Kae Dam,TH4402,2015,2.4143924447872216,2.5019164685212907,2.6811985490810395,2.105242055636946,1.009367002984808,0.8890030654150668,2.100505030491766,2.611897043402667,2.0391902075401007
Kosum Phisai,TH4403,2015,2.550028188191622,2.487328839798294,2.707695378716665,2.098685734902931,1.0190487314517689,0.7568559754002784,1.8594451110975856,2.176991793090489,1.9570099690812037
Kantharawichai,TH4404,2015,2.447495338284023,2.455470736291301,2.607936284286814,2.0052961345182094,0.9353505145122155,0.8551042158432429,2.039447165691703,2.415016328797722,1.9701395897781542
Chiang Yuen,TH4405,2015,2.4546109087998262,2.3825828441711203,2.5554041986260305,1.9190835713545504,0.8904174747864017,0.795181324495014,1.8799051742903106,2.151948926117038,1.8786418028300362
Borabue,TH4406,2015,2.5651971379521012,2.593760202161009,2.819089497315365,2.2738122302341583,1.1372845020599758,0.8005129513228446,1.9843480355392573,2.4778025159942496,2.08147588407237
Na Chueak,TH4407,2015,2.522882878757285,2.5897407944513993,2.899732596705881,2.380336689721362,1.2223612224318698,0.796284127470252,1.9668495876911773,2.535969061618113,2.114269619855917
Phayakkhaphum Phisai,TH4408,2015,2.3008281367985277,2.455701418348218,2.8154198900026763,2.2679243214021945,1.1910108165028415,0.8448187194012479,1.9676689568323726,2.703389392174314,2.0683452064327987
Wapi Pathum,TH4409,2015,2.4223678910427546,2.5065671701657104,2.7520033328861944,2.2190070438486806,1.0941088681793847,0.8711865560721207,2.0587851302102704,2.6666016784323214,2.07382845885468
Na Dun,TH4410,2015,2.409638234350793,2.515297366767712,2.8155665993191024,2.295697473134242,1.1675897969450781,0.8428340256212682,2.0116908667729487,2.671467138797991,2.091222687713642
Yang Sisurat,TH4411,2015,2.392281978964265,2.526526955976542,2.8727050776958825,2.3395614597118493,1.2200247063446865,0.8121074562753456,1.969762724304877,2.6183000835480006,2.0939088053526813
Kut Rang,TH4412,2015,2.612265055259036,2.5986901085528187,2.869670248417933,2.3123223992729445,1.1694124115481672,0.7507518893288286,1.893950935447368,2.3015266337155373,2.0635737101928293
Chuen Chom,TH4413,2015,2.3997988598281923,2.3290826943618343,2.4650420771243304,1.8423528627893446,0.8526885834178312,0.8274350878790697,1.9001239982556248,2.1385830505741965,1.8443884017788028
Mueang Kalasin,TH4601,2015,2.3050990637766127,2.291896006835317,2.429630345766399,1.8560008195316946,0.835617372778011,0.975043463672786,2.2371544700422077,2.569303516281351,1.9374681323355474
Na Mon,TH4602,2015,2.174280384339497,2.1908818374667063,2.308879471503962,1.736893517660916,0.7562973885880533,1.0017972234275723,2.3016766809313887,2.675734337352461,1.8933051051588192
Kamalasai,TH4603,2015,2.273124074861725,2.3215574242137076,2.4590195064237315,1.8892267429075245,0.8522376184671006,0.9928560122680068,2.277013475618501,2.7250671430310414,1.9737627497239174
Rong Kham,TH4604,2015,2.2134891786100077,2.268018683479291,2.3959279588249207,1.8334196064922679,0.8168624376046816,1.039720414540846,2.374890431430981,2.8677860109983504,1.9762643402476687
Kuchinarai,TH4605,2015,2.23354080381848,2.2769966226108207,2.362155509768,1.7979526948914797,0.7743441994093784,1.1229460762010295,2.4762285586951998,3.001083653069018,2.0056560148079257
Khao Wong,TH4606,2015,2.185633077497471,2.200600623596182,2.32993660347925,1.7705323209628225,0.762211514552373,1.0434194995336115,2.294325189791533,2.726140727903226,1.9140999446645584
Yang Talat,TH4607,2015,2.39545181537505,2.3723343951065834,2.5159928758962304,1.9202816678594865,0.8774234905277388,0.9040018116549177,2.0931873650227204,2.410854188444568,1.9361909512359123
Huai Mek,TH4608,2015,2.3870904279260974,2.3121861461756583,2.444679615797589,1.8385837000055198,0.8549929210624521,0.8678724227198529,1.969841641726408,2.196693637669297,1.858992564135359
